# gpu=5 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset yelp --seed 2 --method nsreg --tag N201_nsreg --epochs 201
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[yelp] NSReg, rotations [np.int64(1)] of [np.int64(1)]
[yelp] n_epochs=201 eval_every=1 input_dim=32 wd=0.0 lr=0.001
Normal classes: [0] in yelp
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
assertion passed...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 14578  num train neg edges: 20036
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=1.5950, clf_loss=0.9136, lbl_loss=0.6814
Epoch  1 loss=1.4792, clf_loss=0.8101, lbl_loss=0.6691
Epoch  2 loss=1.3960, clf_loss=0.7218, lbl_loss=0.6742
Epoch  3 loss=1.3309, clf_loss=0.6535, lbl_loss=0.6775
Epoch  4 loss=1.2757, clf_loss=0.6066, lbl_loss=0.6691
Epoch  5 loss=1.2187, clf_loss=0.5612, lbl_loss=0.6575
Epoch  6 loss=1.2043, clf_loss=0.5162, lbl_loss=0.6881
Epoch  7 loss=1.1563, clf_loss=0.4792, lbl_loss=0.6772
Epoch  8 loss=1.1280, clf_loss=0.4423, lbl_loss=0.6857
Epoch  9 loss=1.0699, clf_loss=0.4070, lbl_loss=0.6628
Epoch 10 loss=1.0478, clf_loss=0.3743, lbl_loss=0.6736
Epoch 11 loss=1.0266, clf_loss=0.3466, lbl_loss=0.6800
Epoch 12 loss=1.0007, clf_loss=0.3240, lbl_loss=0.6766
Epoch 13 loss=0.9816, clf_loss=0.3084, lbl_loss=0.6732
Epoch 14 loss=0.9823, clf_loss=0.3007, lbl_loss=0.6816
Epoch 15 loss=0.9817, clf_loss=0.3014, lbl_loss=0.6803
Epoch 16 loss=0.9887, clf_loss=0.3074, lbl_loss=0.6812
Epoch 17 loss=1.0014, clf_loss=0.3175, lbl_loss=0.6839
Epoch 18 loss=1.0051, clf_loss=0.3259, lbl_loss=0.6792
Epoch 19 loss=1.0095, clf_loss=0.3298, lbl_loss=0.6797
Epoch 20 loss=1.0083, clf_loss=0.3319, lbl_loss=0.6764
Epoch 21 loss=1.0118, clf_loss=0.3311, lbl_loss=0.6806
Epoch 22 loss=1.0091, clf_loss=0.3284, lbl_loss=0.6807
Epoch 23 loss=1.0099, clf_loss=0.3245, lbl_loss=0.6854
Epoch 24 loss=0.9971, clf_loss=0.3190, lbl_loss=0.6781
Epoch 25 loss=0.9918, clf_loss=0.3144, lbl_loss=0.6774
Epoch 26 loss=0.9822, clf_loss=0.3076, lbl_loss=0.6747
Epoch 27 loss=0.9832, clf_loss=0.3053, lbl_loss=0.6780
Epoch 28 loss=0.9818, clf_loss=0.3019, lbl_loss=0.6798
Epoch 29 loss=0.9744, clf_loss=0.3006, lbl_loss=0.6737
Epoch 30 loss=0.9706, clf_loss=0.3007, lbl_loss=0.6700
Epoch 31 loss=0.9702, clf_loss=0.3013, lbl_loss=0.6690
Epoch 32 loss=0.9877, clf_loss=0.3014, lbl_loss=0.6862
Epoch 33 loss=0.9763, clf_loss=0.3028, lbl_loss=0.6735
Epoch 34 loss=0.9712, clf_loss=0.3030, lbl_loss=0.6682
Epoch 35 loss=0.9876, clf_loss=0.3043, lbl_loss=0.6834
Epoch 36 loss=0.9852, clf_loss=0.3046, lbl_loss=0.6805
Epoch 37 loss=0.9871, clf_loss=0.3049, lbl_loss=0.6822
Epoch 38 loss=0.9790, clf_loss=0.3038, lbl_loss=0.6751
Epoch 39 loss=0.9702, clf_loss=0.3041, lbl_loss=0.6661
Epoch 40 loss=0.9662, clf_loss=0.3038, lbl_loss=0.6624
Epoch 41 loss=0.9688, clf_loss=0.3024, lbl_loss=0.6664
Epoch 42 loss=0.9890, clf_loss=0.3013, lbl_loss=0.6877
Epoch 43 loss=0.9819, clf_loss=0.3009, lbl_loss=0.6810
Epoch 44 loss=0.9731, clf_loss=0.3007, lbl_loss=0.6724
Epoch 45 loss=0.9562, clf_loss=0.3004, lbl_loss=0.6558
Epoch 46 loss=0.9775, clf_loss=0.3001, lbl_loss=0.6774
Epoch 47 loss=0.9695, clf_loss=0.2996, lbl_loss=0.6699
Epoch 48 loss=0.9624, clf_loss=0.3003, lbl_loss=0.6621
Epoch 49 loss=0.9680, clf_loss=0.3006, lbl_loss=0.6674
