# gpu=6 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset cs --seed 42 --method nsreg --tag E400_nsreg --epochs 400 --rotations 9
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] NSReg, rotations [np.int64(9)] of [np.int64(0), np.int64(1), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(12), np.int64(14)]
[cs] n_epochs=400 eval_every=1 input_dim=6805 wd=0.0 lr=0.001
Normal classes: [2, 4, 5, 7, 10, 11, 13] in cs
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 324  num train neg edges: 240
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=1.4096, clf_loss=0.7265, lbl_loss=0.6831
Epoch  1 loss=1.2973, clf_loss=0.6179, lbl_loss=0.6794
Epoch  2 loss=1.2079, clf_loss=0.5337, lbl_loss=0.6742
Epoch  3 loss=1.1265, clf_loss=0.4638, lbl_loss=0.6627
Epoch  4 loss=1.0734, clf_loss=0.3926, lbl_loss=0.6809
Epoch  5 loss=1.0211, clf_loss=0.3331, lbl_loss=0.6880
Epoch  6 loss=0.9497, clf_loss=0.2802, lbl_loss=0.6696
Epoch  7 loss=0.9087, clf_loss=0.2438, lbl_loss=0.6650
Epoch  8 loss=0.9084, clf_loss=0.2247, lbl_loss=0.6838
Epoch  9 loss=0.8890, clf_loss=0.2147, lbl_loss=0.6742
Epoch 10 loss=0.8987, clf_loss=0.2200, lbl_loss=0.6787
Epoch 11 loss=0.8962, clf_loss=0.2223, lbl_loss=0.6740
Epoch 12 loss=0.9089, clf_loss=0.2338, lbl_loss=0.6751
Epoch 13 loss=0.9092, clf_loss=0.2367, lbl_loss=0.6726
Epoch 14 loss=0.9119, clf_loss=0.2428, lbl_loss=0.6691
Epoch 15 loss=0.8973, clf_loss=0.2250, lbl_loss=0.6722
Epoch 16 loss=0.8818, clf_loss=0.2107, lbl_loss=0.6711
Epoch 17 loss=0.8662, clf_loss=0.2089, lbl_loss=0.6573
Epoch 18 loss=0.8667, clf_loss=0.1915, lbl_loss=0.6751
Epoch 19 loss=0.8454, clf_loss=0.1908, lbl_loss=0.6546
Epoch 20 loss=0.8328, clf_loss=0.1720, lbl_loss=0.6608
Epoch 21 loss=0.8202, clf_loss=0.1628, lbl_loss=0.6574
Epoch 22 loss=0.8143, clf_loss=0.1570, lbl_loss=0.6573
Epoch 23 loss=0.8015, clf_loss=0.1493, lbl_loss=0.6522
Epoch 24 loss=0.7936, clf_loss=0.1436, lbl_loss=0.6499
Epoch 25 loss=0.7897, clf_loss=0.1430, lbl_loss=0.6467
Epoch 26 loss=0.7965, clf_loss=0.1386, lbl_loss=0.6579
Epoch 27 loss=0.7728, clf_loss=0.1353, lbl_loss=0.6375
Epoch 28 loss=0.7717, clf_loss=0.1300, lbl_loss=0.6416
