# gpu=6 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset yelp --seed 42 --method nsreg --tag E400_nsreg --epochs 400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[yelp] NSReg, rotations [np.int64(1)] of [np.int64(1)]
[yelp] n_epochs=400 eval_every=1 input_dim=32 wd=0.0 lr=0.001
Normal classes: [0] in yelp
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
assertion passed...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 14020  num train neg edges: 14020
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=1.3730, clf_loss=0.6755, lbl_loss=0.6975
Epoch  1 loss=1.2499, clf_loss=0.5669, lbl_loss=0.6831
Epoch  2 loss=1.1827, clf_loss=0.4947, lbl_loss=0.6881
Epoch  3 loss=1.1112, clf_loss=0.4328, lbl_loss=0.6783
Epoch  4 loss=1.0505, clf_loss=0.3823, lbl_loss=0.6682
Epoch  5 loss=1.0165, clf_loss=0.3446, lbl_loss=0.6719
Epoch  6 loss=0.9962, clf_loss=0.3188, lbl_loss=0.6774
Epoch  7 loss=0.9786, clf_loss=0.3046, lbl_loss=0.6740
Epoch  8 loss=0.9639, clf_loss=0.2992, lbl_loss=0.6647
Epoch  9 loss=0.9753, clf_loss=0.3049, lbl_loss=0.6704
Epoch 10 loss=0.9881, clf_loss=0.3121, lbl_loss=0.6760
Epoch 11 loss=0.9748, clf_loss=0.3204, lbl_loss=0.6545
Epoch 12 loss=0.9939, clf_loss=0.3268, lbl_loss=0.6672
Epoch 13 loss=1.0108, clf_loss=0.3277, lbl_loss=0.6831
Epoch 14 loss=1.0058, clf_loss=0.3257, lbl_loss=0.6801
Epoch 15 loss=0.9823, clf_loss=0.3199, lbl_loss=0.6625
Epoch 16 loss=0.9756, clf_loss=0.3134, lbl_loss=0.6623
Epoch 17 loss=0.9861, clf_loss=0.3067, lbl_loss=0.6793
Epoch 18 loss=0.9780, clf_loss=0.3019, lbl_loss=0.6761
Epoch 19 loss=0.9712, clf_loss=0.3000, lbl_loss=0.6712
Epoch 20 loss=0.9732, clf_loss=0.3005, lbl_loss=0.6727
Epoch 21 loss=0.9789, clf_loss=0.3022, lbl_loss=0.6767
Epoch 22 loss=0.9752, clf_loss=0.3047, lbl_loss=0.6705
Epoch 23 loss=0.9797, clf_loss=0.3065, lbl_loss=0.6731
Epoch 24 loss=0.9825, clf_loss=0.3078, lbl_loss=0.6747
Epoch 25 loss=0.9938, clf_loss=0.3077, lbl_loss=0.6861
Epoch 26 loss=0.9705, clf_loss=0.3054, lbl_loss=0.6651
Epoch 27 loss=0.9761, clf_loss=0.3033, lbl_loss=0.6728
Epoch 28 loss=0.9718, clf_loss=0.3019, lbl_loss=0.6699
Epoch 29 loss=0.9699, clf_loss=0.3005, lbl_loss=0.6694
Epoch 30 loss=0.9729, clf_loss=0.2998, lbl_loss=0.6731
Epoch 31 loss=0.9774, clf_loss=0.3003, lbl_loss=0.6771
Epoch 32 loss=0.9782, clf_loss=0.3010, lbl_loss=0.6772
Epoch 33 loss=0.9656, clf_loss=0.3008, lbl_loss=0.6648
Epoch 34 loss=0.9774, clf_loss=0.3023, lbl_loss=0.6751
Epoch 35 loss=0.9645, clf_loss=0.3025, lbl_loss=0.6621
Epoch 36 loss=0.9718, clf_loss=0.3031, lbl_loss=0.6687
Epoch 37 loss=0.9790, clf_loss=0.3016, lbl_loss=0.6774
Epoch 38 loss=0.9845, clf_loss=0.3003, lbl_loss=0.6842
Epoch 39 loss=0.9675, clf_loss=0.2999, lbl_loss=0.6676
Epoch 40 loss=0.9518, clf_loss=0.2998, lbl_loss=0.6520
Epoch 41 loss=0.9813, clf_loss=0.2994, lbl_loss=0.6818
Epoch 42 loss=0.9750, clf_loss=0.2998, lbl_loss=0.6751
Epoch 43 loss=0.9530, clf_loss=0.3002, lbl_loss=0.6528
Epoch 44 loss=0.9708, clf_loss=0.3003, lbl_loss=0.6705
Epoch 45 loss=0.9593, clf_loss=0.3001, lbl_loss=0.6592
Epoch 46 loss=0.9708, clf_loss=0.3004, lbl_loss=0.6704
Epoch 47 loss=0.9731, clf_loss=0.3003, lbl_loss=0.6728
Epoch 48 loss=0.9805, clf_loss=0.3002, lbl_loss=0.6803
Epoch 49 loss=0.9820, clf_loss=0.2998, lbl_loss=0.6822
Epoch 50 loss=0.9720, clf_loss=0.2995, lbl_loss=0.6724
Epoch 51 loss=0.9667, clf_loss=0.2992, lbl_loss=0.6675
Epoch 52 loss=0.9701, clf_loss=0.2988, lbl_loss=0.6713
Epoch 53 loss=0.9756, clf_loss=0.2995, lbl_loss=0.6761
Epoch 54 loss=0.9784, clf_loss=0.2992, lbl_loss=0.6792
Epoch 55 loss=0.9796, clf_loss=0.2995, lbl_loss=0.6801
Epoch 56 loss=0.9630, clf_loss=0.3000, lbl_loss=0.6630
Epoch 57 loss=0.9809, clf_loss=0.2992, lbl_loss=0.6818
Epoch 58 loss=0.9761, clf_loss=0.2994, lbl_loss=0.6766
Epoch 59 loss=0.9697, clf_loss=0.2993, lbl_loss=0.6705
Epoch 60 loss=0.9819, clf_loss=0.2988, lbl_loss=0.6831
Epoch 61 loss=0.9671, clf_loss=0.2985, lbl_loss=0.6686
Epoch 62 loss=0.9761, clf_loss=0.2995, lbl_loss=0.6766
Epoch 63 loss=0.9819, clf_loss=0.2990, lbl_loss=0.6829
Epoch 64 loss=0.9639, clf_loss=0.2991, lbl_loss=0.6649
Epoch 65 loss=0.9715, clf_loss=0.2990, lbl_loss=0.6725
Epoch 66 loss=0.9703, clf_loss=0.2997, lbl_loss=0.6706
Epoch 67 loss=0.9642, clf_loss=0.2987, lbl_loss=0.6655
Epoch 68 loss=0.9746, clf_loss=0.2991, lbl_loss=0.6755
Epoch 69 loss=0.9670, clf_loss=0.2996, lbl_loss=0.6674
Epoch 70 loss=0.9663, clf_loss=0.2990, lbl_loss=0.6673
Epoch 71 loss=0.9622, clf_loss=0.2987, lbl_loss=0.6635
Epoch 72 loss=0.9811, clf_loss=0.2992, lbl_loss=0.6819
Epoch 73 loss=0.9737, clf_loss=0.2981, lbl_loss=0.6756
Epoch 74 loss=0.9605, clf_loss=0.3004, lbl_loss=0.6601
Epoch 75 loss=0.9682, clf_loss=0.2987, lbl_loss=0.6695
Epoch 76 loss=0.9613, clf_loss=0.2996, lbl_loss=0.6617
Epoch 77 loss=0.9919, clf_loss=0.2993, lbl_loss=0.6926
Epoch 78 loss=0.9818, clf_loss=0.2979, lbl_loss=0.6839
Epoch 79 loss=0.9698, clf_loss=0.2983, lbl_loss=0.6715
Epoch 80 loss=0.9600, clf_loss=0.2986, lbl_loss=0.6614
Epoch 81 loss=0.9732, clf_loss=0.2988, lbl_loss=0.6745
Epoch 82 loss=0.9723, clf_loss=0.2980, lbl_loss=0.6743
Epoch 83 loss=0.9779, clf_loss=0.2990, lbl_loss=0.6788
Epoch 84 loss=0.9768, clf_loss=0.2988, lbl_loss=0.6780
Epoch 85 loss=0.9635, clf_loss=0.2983, lbl_loss=0.6652
Epoch 86 loss=0.9682, clf_loss=0.2978, lbl_loss=0.6703
Epoch 87 loss=0.9713, clf_loss=0.2982, lbl_loss=0.6730
Epoch 88 loss=0.9700, clf_loss=0.2993, lbl_loss=0.6706
Epoch 89 loss=0.9651, clf_loss=0.2986, lbl_loss=0.6665
Epoch 90 loss=0.9712, clf_loss=0.2980, lbl_loss=0.6732
Epoch 91 loss=0.9683, clf_loss=0.2984, lbl_loss=0.6699
Epoch 92 loss=0.9768, clf_loss=0.2979, lbl_loss=0.6789
Epoch 93 loss=0.9767, clf_loss=0.2982, lbl_loss=0.6786
Epoch 94 loss=0.9523, clf_loss=0.2981, lbl_loss=0.6542
Epoch 95 loss=0.9769, clf_loss=0.2979, lbl_loss=0.6790
Epoch 96 loss=0.9689, clf_loss=0.2983, lbl_loss=0.6706
Epoch 97 loss=0.9672, clf_loss=0.2977, lbl_loss=0.6695
Epoch 98 loss=0.9699, clf_loss=0.2975, lbl_loss=0.6724
Epoch 99 loss=0.9696, clf_loss=0.2983, lbl_loss=0.6712
Epoch 100 loss=0.9592, clf_loss=0.2969, lbl_loss=0.6623
Epoch 101 loss=0.9699, clf_loss=0.2973, lbl_loss=0.6726
Epoch 102 loss=0.9664, clf_loss=0.2966, lbl_loss=0.6699
Epoch 103 loss=0.9826, clf_loss=0.2971, lbl_loss=0.6856
Epoch 104 loss=0.9759, clf_loss=0.2987, lbl_loss=0.6772
Epoch 105 loss=0.9696, clf_loss=0.2963, lbl_loss=0.6733
Epoch 106 loss=0.9666, clf_loss=0.2968, lbl_loss=0.6699
Epoch 107 loss=0.9672, clf_loss=0.2973, lbl_loss=0.6699
Epoch 108 loss=0.9594, clf_loss=0.2963, lbl_loss=0.6631
Epoch 109 loss=0.9771, clf_loss=0.2971, lbl_loss=0.6800
Epoch 110 loss=0.9722, clf_loss=0.2968, lbl_loss=0.6754
Epoch 111 loss=0.9825, clf_loss=0.2963, lbl_loss=0.6862
Epoch 112 loss=0.9607, clf_loss=0.2974, lbl_loss=0.6633
Epoch 113 loss=0.9694, clf_loss=0.2956, lbl_loss=0.6738
Epoch 114 loss=0.9615, clf_loss=0.2982, lbl_loss=0.6633
Epoch 115 loss=0.9634, clf_loss=0.2969, lbl_loss=0.6665
Epoch 116 loss=0.9854, clf_loss=0.2967, lbl_loss=0.6886
Epoch 117 loss=0.9667, clf_loss=0.2974, lbl_loss=0.6694
Epoch 118 loss=0.9780, clf_loss=0.2965, lbl_loss=0.6815
Epoch 119 loss=0.9694, clf_loss=0.2971, lbl_loss=0.6722
Epoch 120 loss=0.9633, clf_loss=0.2955, lbl_loss=0.6679
Epoch 121 loss=0.9829, clf_loss=0.2953, lbl_loss=0.6877
Epoch 122 loss=0.9751, clf_loss=0.2962, lbl_loss=0.6789
Epoch 123 loss=0.9631, clf_loss=0.2958, lbl_loss=0.6673
Epoch 124 loss=0.9709, clf_loss=0.2946, lbl_loss=0.6763
Epoch 125 loss=0.9778, clf_loss=0.2968, lbl_loss=0.6810
Epoch 126 loss=0.9699, clf_loss=0.2946, lbl_loss=0.6753
Epoch 127 loss=0.9696, clf_loss=0.2943, lbl_loss=0.6753
Epoch 128 loss=0.9652, clf_loss=0.2929, lbl_loss=0.6722
Epoch 129 loss=0.9644, clf_loss=0.2934, lbl_loss=0.6710
Epoch 130 loss=0.9609, clf_loss=0.2946, lbl_loss=0.6663
Epoch 131 loss=0.9591, clf_loss=0.2935, lbl_loss=0.6657
Epoch 132 loss=0.9642, clf_loss=0.2939, lbl_loss=0.6703
Epoch 133 loss=0.9824, clf_loss=0.2936, lbl_loss=0.6889
Epoch 134 loss=0.9655, clf_loss=0.2954, lbl_loss=0.6701
Epoch 135 loss=0.9622, clf_loss=0.2908, lbl_loss=0.6714
Epoch 136 loss=0.9611, clf_loss=0.2951, lbl_loss=0.6659
Epoch 137 loss=0.9612, clf_loss=0.2907, lbl_loss=0.6705
Epoch 138 loss=0.9667, clf_loss=0.2930, lbl_loss=0.6737
Epoch 139 loss=0.9723, clf_loss=0.2912, lbl_loss=0.6810
Epoch 140 loss=0.9542, clf_loss=0.2927, lbl_loss=0.6615
Epoch 141 loss=0.9752, clf_loss=0.2920, lbl_loss=0.6833
Epoch 142 loss=0.9680, clf_loss=0.2942, lbl_loss=0.6738
Epoch 143 loss=0.9525, clf_loss=0.2911, lbl_loss=0.6613
Epoch 144 loss=0.9624, clf_loss=0.2897, lbl_loss=0.6727
Epoch 145 loss=0.9679, clf_loss=0.2915, lbl_loss=0.6765
Epoch 146 loss=0.9598, clf_loss=0.2882, lbl_loss=0.6715
Epoch 147 loss=0.9663, clf_loss=0.2897, lbl_loss=0.6766
Epoch 148 loss=0.9604, clf_loss=0.2915, lbl_loss=0.6689
