# gpu=5 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset computers --seed 0 --method nsreg --tag E400_nsreg --epochs 400 --rotations 0
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] NSReg, rotations [np.int64(0)] of [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] n_epochs=400 eval_every=1 input_dim=767 wd=0.0 lr=0.001
Normal classes: [1, 2, 4, 7, 8] in computers
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 1024  num train neg edges: 2390
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=1.2960, clf_loss=0.6174, lbl_loss=0.6786
Epoch  1 loss=1.1573, clf_loss=0.4842, lbl_loss=0.6731
Epoch  2 loss=1.0574, clf_loss=0.3859, lbl_loss=0.6716
Epoch  3 loss=0.9980, clf_loss=0.3185, lbl_loss=0.6795
Epoch  4 loss=0.9682, clf_loss=0.2913, lbl_loss=0.6769
Epoch  5 loss=0.9721, clf_loss=0.3098, lbl_loss=0.6623
Epoch  6 loss=1.0143, clf_loss=0.3284, lbl_loss=0.6859
Epoch  7 loss=1.0136, clf_loss=0.3407, lbl_loss=0.6728
Epoch  8 loss=0.9958, clf_loss=0.3291, lbl_loss=0.6667
Epoch  9 loss=0.9670, clf_loss=0.3051, lbl_loss=0.6619
Epoch 10 loss=0.9752, clf_loss=0.2980, lbl_loss=0.6772
Epoch 11 loss=0.9494, clf_loss=0.2819, lbl_loss=0.6675
Epoch 12 loss=0.9639, clf_loss=0.2814, lbl_loss=0.6825
Epoch 13 loss=0.9471, clf_loss=0.2817, lbl_loss=0.6654
Epoch 14 loss=0.9606, clf_loss=0.2880, lbl_loss=0.6726
Epoch 15 loss=0.9594, clf_loss=0.2916, lbl_loss=0.6678
Epoch 16 loss=0.9684, clf_loss=0.2930, lbl_loss=0.6754
Epoch 17 loss=0.9479, clf_loss=0.2864, lbl_loss=0.6614
Epoch 18 loss=0.9695, clf_loss=0.2885, lbl_loss=0.6810
Epoch 19 loss=0.9472, clf_loss=0.2827, lbl_loss=0.6645
Epoch 20 loss=0.9492, clf_loss=0.2759, lbl_loss=0.6733
Epoch 21 loss=0.9596, clf_loss=0.2823, lbl_loss=0.6773
Epoch 22 loss=0.9482, clf_loss=0.2772, lbl_loss=0.6711
Epoch 23 loss=0.9594, clf_loss=0.2833, lbl_loss=0.6761
Epoch 24 loss=0.9564, clf_loss=0.2799, lbl_loss=0.6765
Epoch 25 loss=0.9459, clf_loss=0.2751, lbl_loss=0.6708
Epoch 26 loss=0.9404, clf_loss=0.2707, lbl_loss=0.6697
Epoch 27 loss=0.9395, clf_loss=0.2704, lbl_loss=0.6692
Epoch 28 loss=0.9305, clf_loss=0.2662, lbl_loss=0.6643
Epoch 29 loss=0.9377, clf_loss=0.2672, lbl_loss=0.6705
Epoch 30 loss=0.9361, clf_loss=0.2684, lbl_loss=0.6677
Epoch 31 loss=0.9353, clf_loss=0.2656, lbl_loss=0.6697
Epoch 32 loss=0.9306, clf_loss=0.2652, lbl_loss=0.6654
Epoch 33 loss=0.9314, clf_loss=0.2597, lbl_loss=0.6718
Epoch 34 loss=0.9217, clf_loss=0.2601, lbl_loss=0.6616
Epoch 35 loss=0.9273, clf_loss=0.2604, lbl_loss=0.6669
Epoch 36 loss=0.9106, clf_loss=0.2574, lbl_loss=0.6533
Epoch 37 loss=0.9235, clf_loss=0.2550, lbl_loss=0.6686
Epoch 38 loss=0.9123, clf_loss=0.2568, lbl_loss=0.6555
Epoch 39 loss=0.9063, clf_loss=0.2507, lbl_loss=0.6556
Epoch 40 loss=0.9161, clf_loss=0.2537, lbl_loss=0.6624
Epoch 41 loss=0.9121, clf_loss=0.2493, lbl_loss=0.6628
Epoch 42 loss=0.9141, clf_loss=0.2456, lbl_loss=0.6685
Epoch 43 loss=0.9002, clf_loss=0.2387, lbl_loss=0.6615
Epoch 44 loss=0.8903, clf_loss=0.2427, lbl_loss=0.6476
Epoch 45 loss=0.9062, clf_loss=0.2402, lbl_loss=0.6661
Epoch 46 loss=0.9045, clf_loss=0.2319, lbl_loss=0.6726
Epoch 47 loss=0.8938, clf_loss=0.2344, lbl_loss=0.6594
Epoch 48 loss=0.8938, clf_loss=0.2323, lbl_loss=0.6616
Epoch 49 loss=0.8912, clf_loss=0.2246, lbl_loss=0.6666
Epoch 50 loss=0.9015, clf_loss=0.2307, lbl_loss=0.6709
Epoch 51 loss=0.8937, clf_loss=0.2232, lbl_loss=0.6705
Epoch 52 loss=0.8915, clf_loss=0.2278, lbl_loss=0.6637
Epoch 53 loss=0.8731, clf_loss=0.2259, lbl_loss=0.6472
Epoch 54 loss=0.8740, clf_loss=0.2244, lbl_loss=0.6497
Epoch 55 loss=0.8646, clf_loss=0.2189, lbl_loss=0.6457
Epoch 56 loss=0.8937, clf_loss=0.2196, lbl_loss=0.6741
Epoch 57 loss=0.8652, clf_loss=0.2184, lbl_loss=0.6468
Epoch 58 loss=0.8618, clf_loss=0.2150, lbl_loss=0.6468
