# gpu=5 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 0 --method outpost --tag E400_outpost --set num_epochs=400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [np.int64(0), np.int64(7)]
Normal classes: [np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.6174 PR 0.1251 | unseen ROC 0.4266 PR 0.0378 | valAUC 0.8034 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.6123 PR 0.1217 | unseen ROC 0.4221 PR 0.0376 | valAUC 0.8039 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.6079 PR 0.1209 | unseen ROC 0.4124 PR 0.0370 | valAUC 0.7874 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6105 PR 0.1218 | unseen ROC 0.4178 PR 0.0373 | valAUC 0.7860 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6111 PR 0.1222 | unseen ROC 0.4179 PR 0.0373 | valAUC 0.7773 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6160 PR 0.1251 | unseen ROC 0.4203 PR 0.0374 | valAUC 0.7855 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6176 PR 0.1270 | unseen ROC 0.4188 PR 0.0373 | valAUC 0.7908 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6239 PR 0.1305 | unseen ROC 0.4252 PR 0.0378 | valAUC 0.7981 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6239 PR 0.1344 | unseen ROC 0.4225 PR 0.0376 | valAUC 0.8058 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6279 PR 0.1409 | unseen ROC 0.4169 PR 0.0372 | valAUC 0.8174 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6415 PR 0.1567 | unseen ROC 0.4253 PR 0.0378 | valAUC 0.8676 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6472 PR 0.1806 | unseen ROC 0.4220 PR 0.0376 | valAUC 0.8903 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6564 PR 0.2478 | unseen ROC 0.4231 PR 0.0377 | valAUC 0.9116 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.6627 PR 0.2823 | unseen ROC 0.4269 PR 0.0379 | valAUC 0.9188 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6632 PR 0.2797 | unseen ROC 0.4245 PR 0.0378 | valAUC 0.9372 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.6635 PR 0.2644 | unseen ROC 0.4274 PR 0.0379 | valAUC 0.9353 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.6684 PR 0.2731 | unseen ROC 0.4321 PR 0.0383 | valAUC 0.9377 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.6690 PR 0.2964 | unseen ROC 0.4288 PR 0.0381 | valAUC 0.9396 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.6746 PR 0.3287 | unseen ROC 0.4360 PR 0.0385 | valAUC 0.9527 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.6750 PR 0.3625 | unseen ROC 0.4304 PR 0.0382 | valAUC 0.9628 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.6733 PR 0.3726 | unseen ROC 0.4247 PR 0.0378 | valAUC 0.9618 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.6754 PR 0.3805 | unseen ROC 0.4264 PR 0.0379 | valAUC 0.9599 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.6747 PR 0.3798 | unseen ROC 0.4248 PR 0.0378 | valAUC 0.9507 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.6758 PR 0.3726 | unseen ROC 0.4278 PR 0.0379 | valAUC 0.9585 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.6725 PR 0.3631 | unseen ROC 0.4223 PR 0.0376 | valAUC 0.9536 | tau+ 0.500
