# gpu=5 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 42 --method outpost --tag E400_outpost --rotations 5 --set num_epochs=400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] running subset: [np.int64(5)]
Normal classes: [np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(8)] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4317 PR 0.1316 | unseen ROC 0.4256 PR 0.1179 | valAUC 0.4399 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4410 PR 0.1339 | unseen ROC 0.4341 PR 0.1197 | valAUC 0.4652 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4453 PR 0.1354 | unseen ROC 0.4385 PR 0.1209 | valAUC 0.4739 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4511 PR 0.1376 | unseen ROC 0.4416 PR 0.1225 | valAUC 0.5000 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4556 PR 0.1391 | unseen ROC 0.4434 PR 0.1232 | valAUC 0.5307 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4596 PR 0.1398 | unseen ROC 0.4467 PR 0.1236 | valAUC 0.5086 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4633 PR 0.1408 | unseen ROC 0.4484 PR 0.1238 | valAUC 0.5520 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4701 PR 0.1420 | unseen ROC 0.4530 PR 0.1244 | valAUC 0.5790 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4822 PR 0.1459 | unseen ROC 0.4604 PR 0.1263 | valAUC 0.6598 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5018 PR 0.1519 | unseen ROC 0.4730 PR 0.1286 | valAUC 0.7417 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5335 PR 0.1624 | unseen ROC 0.4990 PR 0.1337 | valAUC 0.7991 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5518 PR 0.1702 | unseen ROC 0.5147 PR 0.1375 | valAUC 0.8356 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5670 PR 0.1757 | unseen ROC 0.5290 PR 0.1402 | valAUC 0.8445 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5775 PR 0.1781 | unseen ROC 0.5382 PR 0.1406 | valAUC 0.8793 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5783 PR 0.1840 | unseen ROC 0.5376 PR 0.1416 | valAUC 0.9083 | tau+ 0.500
