# gpu=6 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 4 --method outpost --tag A_main
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [np.int64(0), np.int64(7)]
Normal classes: [np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.6142 PR 0.1242 | unseen ROC 0.4206 PR 0.0375 | valAUC 0.8913 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.6150 PR 0.1241 | unseen ROC 0.4192 PR 0.0373 | valAUC 0.8942 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.6061 PR 0.1201 | unseen ROC 0.4103 PR 0.0368 | valAUC 0.8797 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6131 PR 0.1243 | unseen ROC 0.4104 PR 0.0369 | valAUC 0.8894 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6083 PR 0.1226 | unseen ROC 0.4079 PR 0.0367 | valAUC 0.8971 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6138 PR 0.1254 | unseen ROC 0.4122 PR 0.0370 | valAUC 0.9092 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6166 PR 0.1288 | unseen ROC 0.4078 PR 0.0367 | valAUC 0.9087 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6157 PR 0.1304 | unseen ROC 0.4032 PR 0.0364 | valAUC 0.9010 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6265 PR 0.1366 | unseen ROC 0.4145 PR 0.0371 | valAUC 0.9343 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6291 PR 0.1408 | unseen ROC 0.4124 PR 0.0370 | valAUC 0.9266 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6309 PR 0.1459 | unseen ROC 0.4078 PR 0.0367 | valAUC 0.9440 | tau+ 0.500
