# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 2 --method outpost --tag L_lean --set use_atlas_gate=false use_pl=false
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[yelp] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in yelp
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.5285 PR 0.1615 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4577 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.5489 PR 0.1710 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4700 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.5462 PR 0.1680 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4723 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.5404 PR 0.1653 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4673 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.5371 PR 0.1676 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4619 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.5312 PR 0.1647 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4570 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.5258 PR 0.1617 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4552 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.5221 PR 0.1595 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4540 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.5194 PR 0.1579 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4515 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5172 PR 0.1555 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4434 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5165 PR 0.1548 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4399 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5158 PR 0.1545 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4390 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5157 PR 0.1544 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4389 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5161 PR 0.1544 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4376 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5168 PR 0.1546 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4359 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5177 PR 0.1548 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4360 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5184 PR 0.1550 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4368 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5188 PR 0.1551 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4361 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5202 PR 0.1555 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4370 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5216 PR 0.1559 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4395 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.5228 PR 0.1563 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4404 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.5240 PR 0.1566 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4419 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.5250 PR 0.1569 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4435 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.5259 PR 0.1572 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4446 | tau+ 0.500
