# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 8 --method outpost --tag L_lean --set use_atlas_gate=false use_pl=false
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[yelp] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in yelp
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4962 PR 0.1520 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4570 | tau+ 0.525
[OUTPOST-v4] epoch 1: test-all ROC 0.4999 PR 0.1583 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4664 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.5008 PR 0.1584 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4784 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4819 PR 0.1454 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4350 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4287 PR 0.1277 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4490 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4228 PR 0.1253 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4441 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4462 PR 0.1317 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4710 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4646 PR 0.1372 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4890 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4853 PR 0.1443 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5023 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.4942 PR 0.1479 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5099 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5014 PR 0.1507 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5114 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5074 PR 0.1532 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5172 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5120 PR 0.1551 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5203 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5157 PR 0.1567 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5255 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5169 PR 0.1558 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5231 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5198 PR 0.1570 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5264 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5222 PR 0.1582 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5308 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5242 PR 0.1590 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5346 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5263 PR 0.1598 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5370 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5282 PR 0.1605 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5401 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.5299 PR 0.1611 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5434 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.5314 PR 0.1616 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5469 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.5326 PR 0.1620 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5496 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.5337 PR 0.1623 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5514 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.5347 PR 0.1625 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5528 | tau+ 0.500
