# gpu=3 cmd=/usr/bin/python3 -u main.py --dataset cs --seed 2 --method outpost --tag E400_outpost --rotations 3 --set num_epochs=400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] anomaly classes (rotations): [np.int64(0), np.int64(1), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(12), np.int64(14)]
[cs] running subset: [np.int64(3)]
Normal classes: [np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(10), np.int64(11), np.int64(13)] in cs
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.7045 PR 0.4732 | unseen ROC 0.6840 PR 0.4077 | valAUC 0.8920 | tau+ 0.533
[OUTPOST-v4] epoch 1: test-all ROC 0.7343 PR 0.4889 | unseen ROC 0.7159 PR 0.4187 | valAUC 0.9369 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.7429 PR 0.4947 | unseen ROC 0.7248 PR 0.4231 | valAUC 0.9534 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7438 PR 0.4954 | unseen ROC 0.7256 PR 0.4221 | valAUC 0.9513 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7456 PR 0.4942 | unseen ROC 0.7271 PR 0.4193 | valAUC 0.9530 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7533 PR 0.5130 | unseen ROC 0.7353 PR 0.4386 | valAUC 0.9480 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.7644 PR 0.5339 | unseen ROC 0.7478 PR 0.4637 | valAUC 0.9518 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.7734 PR 0.5549 | unseen ROC 0.7568 PR 0.4863 | valAUC 0.9515 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.7820 PR 0.5746 | unseen ROC 0.7659 PR 0.5096 | valAUC 0.9544 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.7921 PR 0.5946 | unseen ROC 0.7766 PR 0.5336 | valAUC 0.9525 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.7982 PR 0.6115 | unseen ROC 0.7830 PR 0.5538 | valAUC 0.9903 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.8045 PR 0.6261 | unseen ROC 0.7897 PR 0.5718 | valAUC 0.9749 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.8099 PR 0.6391 | unseen ROC 0.7954 PR 0.5873 | valAUC 0.9714 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.8140 PR 0.6490 | unseen ROC 0.7996 PR 0.5979 | valAUC 0.9738 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.8215 PR 0.6625 | unseen ROC 0.8074 PR 0.6126 | valAUC 0.9797 | tau+ 0.500
