2026-08-19 12:20:52,787 INFO cli={'dataset': 'photo', 'method': 'outpost', 'seed': 0, 'train_seed': None, 'epochs': None, 'set': [], 'tag': 'A_main', 'rotations': [0]}
2026-08-19 12:20:52,787 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 745, 'num_epochs': 200, 'use_atlas_loss': True, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 5, 'sim_topk_frac': 0.0, 'use_fview_gate': False, 'use_hybrid': False}
2026-08-19 12:20:54,461 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.6174091847112375, 'aupr_all': 0.12508092943240423, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942, 'val_auc': 0.8033816425120772} best={'auroc_all': 0.6174091847112375, 'aupr_all': 0.12508092943240423, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
2026-08-19 12:20:54,858 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6123159749992594, 'aupr_all': 0.12167779309940714, 'auroc_unknown': 0.4220778229978999, 'aupr_unknown': 0.037563350415657365, 'val_auc': 0.8038647342995169} best={'auroc_all': 0.6174091847112375, 'aupr_all': 0.12508092943240423, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
2026-08-19 12:20:55,256 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6078662973824264, 'aupr_all': 0.1209380851201889, 'auroc_unknown': 0.41240612663298737, 'aupr_unknown': 0.036953706291629786, 'val_auc': 0.7874396135265701} best={'auroc_all': 0.6174091847112375, 'aupr_all': 0.12508092943240423, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
2026-08-19 12:20:55,572 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.6104537555417321, 'aupr_all': 0.12182290541619456, 'auroc_unknown': 0.41783392840794653, 'aupr_unknown': 0.03726300686505023, 'val_auc': 0.7859903381642512} best={'auroc_all': 0.6174091847112375, 'aupr_all': 0.12508092943240423, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
2026-08-19 12:20:56,202 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.6111060507321505, 'aupr_all': 0.12222273709678122, 'auroc_unknown': 0.4178528857188566, 'aupr_unknown': 0.037287989232174024, 'val_auc': 0.7772946859903381} best={'auroc_all': 0.6174091847112375, 'aupr_all': 0.12508092943240423, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
2026-08-19 12:20:58,138 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.6159991903393662, 'aupr_all': 0.1251096856402308, 'auroc_unknown': 0.420297916452819, 'aupr_unknown': 0.037449512405155684, 'val_auc': 0.7855072463768116} best={'auroc_all': 0.6174091847112375, 'aupr_all': 0.1251096856402308, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
2026-08-19 12:20:59,836 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.6175716105334874, 'aupr_all': 0.12700161059565152, 'auroc_unknown': 0.41881970857527023, 'aupr_unknown': 0.03732988452095028, 'val_auc': 0.7908212560386473} best={'auroc_all': 0.6175716105334874, 'aupr_all': 0.12700161059565152, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
2026-08-19 12:21:01,632 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.6239104140130534, 'aupr_all': 0.13048335847106768, 'auroc_unknown': 0.425249935961279, 'aupr_unknown': 0.03775741615754797, 'val_auc': 0.7980676328502415} best={'auroc_all': 0.6239104140130534, 'aupr_all': 0.13048335847106768, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
2026-08-19 12:21:03,323 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.6238906661927189, 'aupr_all': 0.1343900381149048, 'auroc_unknown': 0.4225376533808283, 'aupr_unknown': 0.037595927061474674, 'val_auc': 0.8057971014492754} best={'auroc_all': 0.6239104140130534, 'aupr_all': 0.1343900381149048, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
