2026-08-09 13:19:36,000 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 2, 'train_seed': None, 'epochs': None, 'set': ['use_conformal=false'], 'tag': 'C_noconformal', 'rotations': None}
2026-08-09 13:19:36,000 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': False, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-09 13:19:51,025 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5285332675760216, 'aupr_all': 0.16152578973591555, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4577380952380952} best={'auroc_all': 0.5285332675760216, 'aupr_all': 0.16152578973591555, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 13:19:52,580 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5489032009820867, 'aupr_all': 0.170958147575744, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46998299319727893} best={'auroc_all': 0.5489032009820867, 'aupr_all': 0.170958147575744, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 13:19:54,141 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5461622072372341, 'aupr_all': 0.16797245063484834, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47227891156462587} best={'auroc_all': 0.5489032009820867, 'aupr_all': 0.170958147575744, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 13:19:55,584 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5403896309577384, 'aupr_all': 0.165262867180051, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46726190476190477} best={'auroc_all': 0.5489032009820867, 'aupr_all': 0.170958147575744, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 13:19:57,121 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.537122485933807, 'aupr_all': 0.1676218053724362, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46190476190476193} best={'auroc_all': 0.5489032009820867, 'aupr_all': 0.170958147575744, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 13:19:58,640 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5312458182700734, 'aupr_all': 0.164715206966103, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4569727891156462} best={'auroc_all': 0.5489032009820867, 'aupr_all': 0.170958147575744, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 13:20:00,242 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5257779681425844, 'aupr_all': 0.16169846246291641, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4551020408163265} best={'auroc_all': 0.5489032009820867, 'aupr_all': 0.170958147575744, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 13:20:01,795 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5221197824891589, 'aupr_all': 0.1595097337894216, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4539965986394558} best={'auroc_all': 0.5489032009820867, 'aupr_all': 0.170958147575744, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 13:20:03,188 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5194395689327559, 'aupr_all': 0.15793367570974953, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.451530612244898} best={'auroc_all': 0.5489032009820867, 'aupr_all': 0.170958147575744, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 13:20:04,657 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5172336990835418, 'aupr_all': 0.15546585867489415, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.44336734693877555} best={'auroc_all': 0.5489032009820867, 'aupr_all': 0.170958147575744, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
