2026-08-21 20:09:57,335 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 0, 'train_seed': None, 'epochs': None, 'set': ['K_p=6'], 'tag': 'T_Kp6', 'rotations': None}
2026-08-21 20:09:57,335 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 6, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-21 20:10:07,356 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.562918933027265, 'aupr_all': 0.1808086607211757, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.48592687074829927} best={'auroc_all': 0.562918933027265, 'aupr_all': 0.1808086607211757, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:10:08,137 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4917517006802721} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:10:08,951 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5868466597771095, 'aupr_all': 0.1818421547820878, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.493452380952381} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:10:09,723 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5698032228620513, 'aupr_all': 0.17353193887134566, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4813775510204082} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:10:10,514 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5722931742499708, 'aupr_all': 0.17387599220358427, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4897959183673469} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:10:11,296 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5709827657856735, 'aupr_all': 0.17407340316203224, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4997448979591837} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:10:12,055 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.564843562358437, 'aupr_all': 0.1728896387605568, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.511734693877551} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:10:12,852 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5610564387065352, 'aupr_all': 0.171226801538848, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5210034013605442} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:10:13,751 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5602850276971186, 'aupr_all': 0.170492414047278, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5276360544217686} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:10:14,741 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5600610099334152, 'aupr_all': 0.1701120184015332, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5361394557823129} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:10:19,097 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5607291527155924, 'aupr_all': 0.17017667505276496, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5407312925170069} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:10:23,435 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.5620592676815992, 'aupr_all': 0.17051840901703447, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5454931972789117} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:10:27,496 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.5637834695738223, 'aupr_all': 0.17105678119419954, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5505952380952381} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:10:31,771 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.5657175005485182, 'aupr_all': 0.17161980697691978, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5521258503401361} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
