2026-09-14 00:04:38,975 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 42, 'train_seed': None, 'epochs': None, 'set': ['hidden_dim=64'], 'tag': 'D_hidden64', 'save_scores': False, 'rotations': None}
2026-09-14 00:04:38,975 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-09-14 00:04:49,634 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.4368781515879454, 'aupr_all': 0.13628090371557547, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.40289115646258505} best={'auroc_all': 0.4368781515879454, 'aupr_all': 0.13628090371557547, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:04:50,476 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.4508636156781546, 'aupr_all': 0.1418915099951036, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.39005102040816325} best={'auroc_all': 0.4508636156781546, 'aupr_all': 0.1418915099951036, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:04:51,337 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.4751436844147609, 'aupr_all': 0.14734277717123542, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.40765306122448974} best={'auroc_all': 0.4751436844147609, 'aupr_all': 0.14734277717123542, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:04:52,149 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.4737427266278693, 'aupr_all': 0.1447537386921531, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.3960034013605442} best={'auroc_all': 0.4751436844147609, 'aupr_all': 0.14734277717123542, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:04:52,979 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.4867723720133945, 'aupr_all': 0.14871751724457513, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4086734693877551} best={'auroc_all': 0.4867723720133945, 'aupr_all': 0.14871751724457513, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:04:53,812 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5002450770346447, 'aupr_all': 0.1534427976988499, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.42066326530612236} best={'auroc_all': 0.5002450770346447, 'aupr_all': 0.1534427976988499, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:04:54,662 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5097463656633192, 'aupr_all': 0.1570520767472946, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4326530612244898} best={'auroc_all': 0.5097463656633192, 'aupr_all': 0.1570520767472946, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:04:55,492 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5139957504735493, 'aupr_all': 0.1583900945294415, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4407312925170068} best={'auroc_all': 0.5139957504735493, 'aupr_all': 0.1583900945294415, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:04:56,371 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5185793862914201, 'aupr_all': 0.15966387994982392, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4466836734693878} best={'auroc_all': 0.5185793862914201, 'aupr_all': 0.15966387994982392, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:04:57,353 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5210181582521916, 'aupr_all': 0.1601558921781553, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.455187074829932} best={'auroc_all': 0.5210181582521916, 'aupr_all': 0.1601558921781553, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:05:02,169 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5258270414373619, 'aupr_all': 0.1617772016159313, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4627551020408164} best={'auroc_all': 0.5258270414373619, 'aupr_all': 0.1617772016159313, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:05:07,100 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.530548754143877, 'aupr_all': 0.16334898696581354, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46938775510204084} best={'auroc_all': 0.530548754143877, 'aupr_all': 0.16334898696581354, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
