2026-09-08 01:53:49,398 INFO cli={'dataset': 'tfinance', 'method': 'outpost', 'seed': 8, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=0.0', 'use_conformal=false'], 'tag': 'C_noconformal', 'save_scores': False, 'rotations': None}
2026-09-08 01:53:49,398 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': False, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 10, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.0}
2026-09-08 01:54:09,686 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.4550891994081263, 'aupr_all': 0.03877351623326548, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.44079999999999997} best={'auroc_all': 0.4550891994081263, 'aupr_all': 0.03877351623326548, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 01:54:13,106 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.7795100271572335, 'aupr_all': 0.13925397046793261, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8337777777777777} best={'auroc_all': 0.7795100271572335, 'aupr_all': 0.13925397046793261, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 01:54:17,200 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.84885219134009, 'aupr_all': 0.49127062040606145, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8907555555555555} best={'auroc_all': 0.84885219134009, 'aupr_all': 0.49127062040606145, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 01:54:21,363 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.8559963449238768, 'aupr_all': 0.5315205127907214, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8865777777777777} best={'auroc_all': 0.8559963449238768, 'aupr_all': 0.5315205127907214, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 01:54:24,701 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.8533574385902716, 'aupr_all': 0.5195583521986655, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8983111111111112} best={'auroc_all': 0.8559963449238768, 'aupr_all': 0.5315205127907214, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 01:54:28,969 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.8570693839411292, 'aupr_all': 0.5086427159196648, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8970666666666667} best={'auroc_all': 0.8570693839411292, 'aupr_all': 0.5315205127907214, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 01:54:33,048 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.8462488180040777, 'aupr_all': 0.506998246781981, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8889333333333334} best={'auroc_all': 0.8570693839411292, 'aupr_all': 0.5315205127907214, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 01:54:36,937 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.8541512498643585, 'aupr_all': 0.5071575882019139, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8890666666666666} best={'auroc_all': 0.8570693839411292, 'aupr_all': 0.5315205127907214, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 01:54:40,011 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.849915034646357, 'aupr_all': 0.5118127810787592, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8792888888888889} best={'auroc_all': 0.8570693839411292, 'aupr_all': 0.5315205127907214, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 01:54:43,737 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.8522796098071007, 'aupr_all': 0.5088606061253026, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.859111111111111} best={'auroc_all': 0.8570693839411292, 'aupr_all': 0.5315205127907214, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 01:55:01,883 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.8465272570379324, 'aupr_all': 0.5042768967899671, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8503111111111112} best={'auroc_all': 0.8570693839411292, 'aupr_all': 0.5315205127907214, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 01:55:18,777 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.8502001284150208, 'aupr_all': 0.50529110694898, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8936} best={'auroc_all': 0.8570693839411292, 'aupr_all': 0.5315205127907214, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 01:55:33,977 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.8540105638410562, 'aupr_all': 0.5130994343886798, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8747555555555555} best={'auroc_all': 0.8570693839411292, 'aupr_all': 0.5315205127907214, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 01:55:49,612 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.8510566010007012, 'aupr_all': 0.5192835887168223, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8756444444444444} best={'auroc_all': 0.8570693839411292, 'aupr_all': 0.5315205127907214, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 01:56:04,540 INFO [OUTPOST-v4] epoch 14 cur={'auroc_all': 0.8577274221936622, 'aupr_all': 0.5191255772091395, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8842666666666666} best={'auroc_all': 0.8577274221936622, 'aupr_all': 0.5315205127907214, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
