2026-09-14 01:38:26,327 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 2, 'train_seed': None, 'epochs': None, 'set': ['alpha_plus=0.01'], 'tag': 'D_alpha0.01', 'save_scores': False, 'rotations': None}
2026-09-14 01:38:26,327 INFO config={'alpha_plus': 0.01, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-09-14 01:38:37,088 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5285341399992743, 'aupr_all': 0.16152603917161712, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4577380952380952} best={'auroc_all': 0.5285341399992743, 'aupr_all': 0.16152603917161712, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 01:38:37,902 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5489043115255684, 'aupr_all': 0.17095927952464926, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46998299319727893} best={'auroc_all': 0.5489043115255684, 'aupr_all': 0.17095927952464926, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 01:38:38,728 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5461630344997538, 'aupr_all': 0.16797202512236614, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47227891156462587} best={'auroc_all': 0.5489043115255684, 'aupr_all': 0.17095927952464926, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 01:38:39,540 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5403904459036944, 'aupr_all': 0.16526329772339846, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46726190476190477} best={'auroc_all': 0.5489043115255684, 'aupr_all': 0.17095927952464926, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 01:38:40,395 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5371236293214582, 'aupr_all': 0.16762157152749219, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4619472789115647} best={'auroc_all': 0.5489043115255684, 'aupr_all': 0.17095927952464926, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 01:38:41,343 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5312467625399471, 'aupr_all': 0.16471511203634986, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4569727891156462} best={'auroc_all': 0.5489043115255684, 'aupr_all': 0.17095927952464926, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 01:38:42,383 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5257791813240957, 'aupr_all': 0.16169874193905343, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4551870748299319} best={'auroc_all': 0.5489043115255684, 'aupr_all': 0.17095927952464926, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 01:38:43,468 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5221210285148399, 'aupr_all': 0.15950977750559422, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4539965986394558} best={'auroc_all': 0.5489043115255684, 'aupr_all': 0.17095927952464926, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 01:38:44,472 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5194410304982993, 'aupr_all': 0.1579339578861628, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.451530612244898} best={'auroc_all': 0.5489043115255684, 'aupr_all': 0.17095927952464926, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 01:38:45,605 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5172349307398986, 'aupr_all': 0.1554660988877102, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.44336734693877555} best={'auroc_all': 0.5489043115255684, 'aupr_all': 0.17095927952464926, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 01:38:50,336 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5164754770609463, 'aupr_all': 0.1548235930008946, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4398809523809523} best={'auroc_all': 0.5489043115255684, 'aupr_all': 0.17095927952464926, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
