2026-09-10 17:20:01,497 INFO cli={'dataset': 'amazon', 'method': 'outpost', 'seed': 8, 'train_seed': None, 'epochs': None, 'set': ['hidden_dim=16', 'sim_topk_frac=0.0'], 'tag': 'T_hidden16', 'save_scores': True, 'rotations': None}
2026-09-10 17:20:01,497 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 16, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 25, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.0, 'record_scores': True}
2026-09-10 17:20:40,886 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.7072272911252293, 'aupr_all': 0.15743188592670432, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7564564564564564} best={'auroc_all': 0.7072272911252293, 'aupr_all': 0.15743188592670432, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-10 17:21:11,385 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6829331472699168, 'aupr_all': 0.14459118086777628, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.784984984984985} best={'auroc_all': 0.7072272911252293, 'aupr_all': 0.15743188592670432, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-10 17:21:42,599 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6990316467851402, 'aupr_all': 0.16388929242992784, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7243243243243244} best={'auroc_all': 0.7072272911252293, 'aupr_all': 0.16388929242992784, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-10 17:22:13,825 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.700992824374514, 'aupr_all': 0.17175778439599504, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7327327327327328} best={'auroc_all': 0.7072272911252293, 'aupr_all': 0.17175778439599504, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-10 17:22:44,105 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.7168969485393196, 'aupr_all': 0.17042996119954706, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8246246246246246} best={'auroc_all': 0.7168969485393196, 'aupr_all': 0.17175778439599504, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-10 17:23:14,473 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.7164366300218795, 'aupr_all': 0.18124185084118932, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7777777777777778} best={'auroc_all': 0.7168969485393196, 'aupr_all': 0.18124185084118932, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-10 17:23:44,471 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.7000725100078782, 'aupr_all': 0.17284978936128587, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7516516516516516} best={'auroc_all': 0.7168969485393196, 'aupr_all': 0.18124185084118932, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-10 17:24:14,623 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.7121974146271451, 'aupr_all': 0.1868804359967931, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7861861861861862} best={'auroc_all': 0.7168969485393196, 'aupr_all': 0.1868804359967931, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-10 17:24:43,873 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.7179312938635211, 'aupr_all': 0.1886625443575363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7243243243243243} best={'auroc_all': 0.7179312938635211, 'aupr_all': 0.1886625443575363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-10 17:25:13,792 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.7053419405732859, 'aupr_all': 0.17402723565625128, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8255255255255256} best={'auroc_all': 0.7179312938635211, 'aupr_all': 0.1886625443575363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-10 17:26:38,493 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.7163158230311817, 'aupr_all': 0.1749027792588521, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7405405405405405} best={'auroc_all': 0.7179312938635211, 'aupr_all': 0.1886625443575363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-10 17:28:00,002 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.7172095495344801, 'aupr_all': 0.18336943158972527, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7867867867867868} best={'auroc_all': 0.7179312938635211, 'aupr_all': 0.1886625443575363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
