2026-08-17 03:01:43,272 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 42, 'train_seed': None, 'epochs': None, 'set': ['sampling_sizes=[200, 10]', 'sim_topk_frac=1.0'], 'tag': 'F_b200_sim1.0', 'rotations': None}
2026-08-17 03:01:43,272 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [200, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-17 03:01:53,953 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5236180513920439, 'aupr_all': 0.16512368827382395, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.583673469387755} best={'auroc_all': 0.5236180513920439, 'aupr_all': 0.16512368827382395, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-17 03:01:55,733 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5231234756764334, 'aupr_all': 0.16595928692732842, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5549319727891157} best={'auroc_all': 0.5236180513920439, 'aupr_all': 0.16595928692732842, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-17 03:01:57,413 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5244335166965839, 'aupr_all': 0.1655732006505212, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5392006802721088} best={'auroc_all': 0.5244335166965839, 'aupr_all': 0.16595928692732842, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-17 03:01:59,085 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5250467666076974, 'aupr_all': 0.16499283961325056, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5256802721088435} best={'auroc_all': 0.5250467666076974, 'aupr_all': 0.16595928692732842, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-17 03:02:00,802 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5244518232155679, 'aupr_all': 0.16372122183959173, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5125850340136054} best={'auroc_all': 0.5250467666076974, 'aupr_all': 0.16595928692732842, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-17 03:02:02,513 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5294271216493928, 'aupr_all': 0.1649728326050422, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5122448979591837} best={'auroc_all': 0.5294271216493928, 'aupr_all': 0.16595928692732842, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-17 03:02:04,266 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5276516602723584, 'aupr_all': 0.16365896345492034, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.501360544217687} best={'auroc_all': 0.5294271216493928, 'aupr_all': 0.16595928692732842, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-17 03:02:05,922 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5263997719070959, 'aupr_all': 0.1626546685176745, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4945578231292517} best={'auroc_all': 0.5294271216493928, 'aupr_all': 0.16595928692732842, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-17 03:02:07,657 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5253120079096643, 'aupr_all': 0.16181846025870905, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4899659863945578} best={'auroc_all': 0.5294271216493928, 'aupr_all': 0.16595928692732842, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-17 03:02:09,443 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5245486601438638, 'aupr_all': 0.16119764727677477, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.48622448979591837} best={'auroc_all': 0.5294271216493928, 'aupr_all': 0.16595928692732842, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-17 03:02:16,916 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5248723907534565, 'aupr_all': 0.16152594529809242, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47967687074829934} best={'auroc_all': 0.5294271216493928, 'aupr_all': 0.16595928692732842, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-17 03:02:24,304 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.5245537427790965, 'aupr_all': 0.16114228626289473, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47789115646258506} best={'auroc_all': 0.5294271216493928, 'aupr_all': 0.16595928692732842, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
