2026-09-11 17:45:23,201 INFO cli={'dataset': 'amazon', 'method': 'outpost', 'seed': 7, 'train_seed': None, 'epochs': None, 'set': ['hidden_dim=16', 'sim_topk_frac=0.0', 'use_pl=false'], 'tag': 'C_nopl_hidden16', 'save_scores': False, 'rotations': None}
2026-09-11 17:45:23,202 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 16, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': False, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 25, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.0}
2026-09-11 17:45:45,785 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.49889434499378926, 'aupr_all': 0.06309074389498213, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4936936936936936} best={'auroc_all': 0.49889434499378926, 'aupr_all': 0.06309074389498213, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-11 17:46:01,838 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5916653372734998, 'aupr_all': 0.08168086555323488, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6252252252252252} best={'auroc_all': 0.5916653372734998, 'aupr_all': 0.08168086555323488, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-11 17:46:08,506 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6576005279368748, 'aupr_all': 0.11224745311225547, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6396396396396397} best={'auroc_all': 0.6576005279368748, 'aupr_all': 0.11224745311225547, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-11 17:46:23,724 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.6778286001773901, 'aupr_all': 0.13823473746809362, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7264264264264264} best={'auroc_all': 0.6778286001773901, 'aupr_all': 0.13823473746809362, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-11 17:46:41,550 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.6960146987001374, 'aupr_all': 0.1596256298805988, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7135135135135134} best={'auroc_all': 0.6960146987001374, 'aupr_all': 0.1596256298805988, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-11 17:46:57,299 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.695165500414564, 'aupr_all': 0.17724529966772154, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7957957957957958} best={'auroc_all': 0.6960146987001374, 'aupr_all': 0.17724529966772154, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-11 17:47:12,259 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.6972921422796587, 'aupr_all': 0.19008292986402028, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7864864864864864} best={'auroc_all': 0.6972921422796587, 'aupr_all': 0.19008292986402028, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-11 17:47:26,052 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.6981974203061063, 'aupr_all': 0.19462089445851935, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7567567567567567} best={'auroc_all': 0.6981974203061063, 'aupr_all': 0.19462089445851935, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-11 17:47:42,605 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.711690954550758, 'aupr_all': 0.1965075440563842, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7825825825825825} best={'auroc_all': 0.711690954550758, 'aupr_all': 0.1965075440563842, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-11 17:47:54,218 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.7272976431278892, 'aupr_all': 0.21206417499436364, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8027027027027027} best={'auroc_all': 0.7272976431278892, 'aupr_all': 0.21206417499436364, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-11 17:48:07,061 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.7050942604288958, 'aupr_all': 0.18450742910255433, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8021021021021022} best={'auroc_all': 0.7272976431278892, 'aupr_all': 0.21206417499436364, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
