2026-08-10 02:59:25,891 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=0.25'], 'tag': 'D_sim0.25', 'rotations': None}
2026-08-10 02:59:25,891 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.25}
2026-08-10 02:59:40,535 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.520856702473134, 'aupr_all': 0.1633255864493211, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4361394557823129} best={'auroc_all': 0.520856702473134, 'aupr_all': 0.1633255864493211, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 02:59:42,083 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5204404559962972, 'aupr_all': 0.16293382929686515, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4431972789115647} best={'auroc_all': 0.520856702473134, 'aupr_all': 0.1633255864493211, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 02:59:43,714 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.525870268469966, 'aupr_all': 0.16491791656531712, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.40926870748299315} best={'auroc_all': 0.525870268469966, 'aupr_all': 0.16491791656531712, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 02:59:45,271 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5177120518321722, 'aupr_all': 0.16695736131184707, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4358843537414966} best={'auroc_all': 0.525870268469966, 'aupr_all': 0.16695736131184707, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 02:59:46,788 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5184989447619942, 'aupr_all': 0.17001440685564434, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.44574829931972787} best={'auroc_all': 0.525870268469966, 'aupr_all': 0.17001440685564434, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 02:59:48,340 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.522835625269276, 'aupr_all': 0.16976115893115182, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.45293367346938773} best={'auroc_all': 0.525870268469966, 'aupr_all': 0.17001440685564434, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 02:59:49,969 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5267671195738055, 'aupr_all': 0.17054785847767812, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4714285714285715} best={'auroc_all': 0.5267671195738055, 'aupr_all': 0.17054785847767812, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 02:59:51,456 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5604183976057191, 'aupr_all': 0.18417109482824376, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.523937074829932} best={'auroc_all': 0.5604183976057191, 'aupr_all': 0.18417109482824376, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 02:59:53,011 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5615683212467201, 'aupr_all': 0.1851476742851692, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5340986394557823} best={'auroc_all': 0.5615683212467201, 'aupr_all': 0.1851476742851692, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 02:59:54,606 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5611234592871926, 'aupr_all': 0.18438684345591003, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.558843537414966} best={'auroc_all': 0.5615683212467201, 'aupr_all': 0.1851476742851692, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 03:00:01,554 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.561560409907388, 'aupr_all': 0.18348062987755326, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5633503401360545} best={'auroc_all': 0.5615683212467201, 'aupr_all': 0.1851476742851692, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 03:00:07,823 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.5611961393288099, 'aupr_all': 0.18208861686044217, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5522108843537415} best={'auroc_all': 0.5615683212467201, 'aupr_all': 0.1851476742851692, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 03:00:14,305 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.5638384507135917, 'aupr_all': 0.18349717514421354, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5299319727891156} best={'auroc_all': 0.5638384507135917, 'aupr_all': 0.1851476742851692, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 03:00:20,849 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.5649742493089402, 'aupr_all': 0.1829720126582348, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5282312925170068} best={'auroc_all': 0.5649742493089402, 'aupr_all': 0.1851476742851692, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 03:00:27,469 INFO [OUTPOST-v4] epoch 14 cur={'auroc_all': 0.5667108437168739, 'aupr_all': 0.18292935474952002, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.506547619047619} best={'auroc_all': 0.5667108437168739, 'aupr_all': 0.1851476742851692, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 03:00:33,960 INFO [OUTPOST-v4] epoch 15 cur={'auroc_all': 0.5685544649566958, 'aupr_all': 0.18299598999033573, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5621598639455783} best={'auroc_all': 0.5685544649566958, 'aupr_all': 0.1851476742851692, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 03:00:40,158 INFO [OUTPOST-v4] epoch 16 cur={'auroc_all': 0.5702332166765909, 'aupr_all': 0.18274776570385792, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5406462585034013} best={'auroc_all': 0.5702332166765909, 'aupr_all': 0.1851476742851692, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
