2026-08-21 16:22:17,633 INFO cli={'dataset': 'computers', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['hidden_dim=32'], 'tag': 'T_hidden32', 'rotations': [9]}
2026-08-21 16:22:17,633 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 767, 'num_epochs': 200, 'sim_topk_frac': 0.0, 'use_atlas_loss': True, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 5, 'use_fview_gate': False, 'use_hybrid': False}
2026-08-21 16:22:19,730 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.47234480778884885, 'aupr_all': 0.14301536862154918, 'auroc_unknown': 0.47242199920294525, 'aupr_unknown': 0.13024863115602078, 'val_auc': 0.4718390804597701} best={'auroc_all': 0.47234480778884885, 'aupr_all': 0.14301536862154918, 'auroc_unknown': 0.47242199920294525, 'aupr_unknown': 0.13024863115602078}
2026-08-21 16:22:20,589 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.4549146860724897, 'aupr_all': 0.13866748098634515, 'auroc_unknown': 0.45105125193232387, 'aupr_unknown': 0.12487275243997745, 'val_auc': 0.5028735632183908} best={'auroc_all': 0.47234480778884885, 'aupr_all': 0.14301536862154918, 'auroc_unknown': 0.47242199920294525, 'aupr_unknown': 0.13024863115602078}
2026-08-21 16:22:21,436 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.45173964522881266, 'aupr_all': 0.13703178976912975, 'auroc_unknown': 0.4503577301474962, 'aupr_unknown': 0.1240172545847377, 'val_auc': 0.4939655172413793} best={'auroc_all': 0.47234480778884885, 'aupr_all': 0.14301536862154918, 'auroc_unknown': 0.47242199920294525, 'aupr_unknown': 0.13024863115602078}
2026-08-21 16:22:22,244 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.45484684263331265, 'aupr_all': 0.13820549387000292, 'auroc_unknown': 0.45499623133969047, 'aupr_unknown': 0.12546350864486283, 'val_auc': 0.4738505747126437} best={'auroc_all': 0.47234480778884885, 'aupr_all': 0.14301536862154918, 'auroc_unknown': 0.47242199920294525, 'aupr_unknown': 0.13024863115602078}
2026-08-21 16:22:23,386 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.44965872318922695, 'aupr_all': 0.13692911280143144, 'auroc_unknown': 0.4509922735790734, 'aupr_unknown': 0.1247054900201377, 'val_auc': 0.47270114942528735} best={'auroc_all': 0.47234480778884885, 'aupr_all': 0.14301536862154918, 'auroc_unknown': 0.47242199920294525, 'aupr_unknown': 0.13024863115602078}
2026-08-21 16:22:27,107 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.4552162889207581, 'aupr_all': 0.13865242359731025, 'auroc_unknown': 0.4563857644220809, 'aupr_unknown': 0.12604767935827216, 'val_auc': 0.478735632183908} best={'auroc_all': 0.47234480778884885, 'aupr_all': 0.14301536862154918, 'auroc_unknown': 0.47242199920294525, 'aupr_unknown': 0.13024863115602078}
2026-08-21 16:22:30,742 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.4572708121102787, 'aupr_all': 0.13969138306412152, 'auroc_unknown': 0.45782049370989963, 'aupr_unknown': 0.1268788667539818, 'val_auc': 0.47902298850574715} best={'auroc_all': 0.47234480778884885, 'aupr_all': 0.14301536862154918, 'auroc_unknown': 0.47242199920294525, 'aupr_unknown': 0.13024863115602078}
2026-08-21 16:22:34,375 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.46320814513927216, 'aupr_all': 0.14094916419026823, 'auroc_unknown': 0.4633317102736903, 'aupr_unknown': 0.12798071631749997, 'val_auc': 0.48591954022988504} best={'auroc_all': 0.47234480778884885, 'aupr_all': 0.14301536862154918, 'auroc_unknown': 0.47242199920294525, 'aupr_unknown': 0.13024863115602078}
2026-08-21 16:22:38,026 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.4688108251523656, 'aupr_all': 0.14289070220552688, 'auroc_unknown': 0.46858175898601173, 'aupr_unknown': 0.1297296690582842, 'val_auc': 0.47586206896551725} best={'auroc_all': 0.47234480778884885, 'aupr_all': 0.14301536862154918, 'auroc_unknown': 0.47242199920294525, 'aupr_unknown': 0.13024863115602078}
2026-08-21 16:22:41,541 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.4732544786761511, 'aupr_all': 0.14443461941722396, 'auroc_unknown': 0.4708324838191938, 'aupr_unknown': 0.13059099867442772, 'val_auc': 0.506896551724138} best={'auroc_all': 0.4732544786761511, 'aupr_all': 0.14443461941722396, 'auroc_unknown': 0.47242199920294525, 'aupr_unknown': 0.13059099867442772}
2026-08-21 16:22:45,154 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.48529873039650295, 'aupr_all': 0.14788432000175508, 'auroc_unknown': 0.4817320838751232, 'aupr_unknown': 0.13326708057737524, 'val_auc': 0.55} best={'auroc_all': 0.48529873039650295, 'aupr_all': 0.14788432000175508, 'auroc_unknown': 0.4817320838751232, 'aupr_unknown': 0.13326708057737524}
2026-08-21 16:22:48,769 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.4951150430234743, 'aupr_all': 0.15064841266528323, 'auroc_unknown': 0.4886157919083547, 'aupr_unknown': 0.1348590277301065, 'val_auc': 0.5804597701149425} best={'auroc_all': 0.4951150430234743, 'aupr_all': 0.15064841266528323, 'auroc_unknown': 0.4886157919083547, 'aupr_unknown': 0.1348590277301065}
2026-08-21 16:22:52,280 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.5034867812173398, 'aupr_all': 0.15453743408263854, 'auroc_unknown': 0.49651126871523277, 'aupr_unknown': 0.13850682852928367, 'val_auc': 0.6083333333333333} best={'auroc_all': 0.5034867812173398, 'aupr_all': 0.15453743408263854, 'auroc_unknown': 0.49651126871523277, 'aupr_unknown': 0.13850682852928367}
