# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 0 --method outpost --tag T_lean --set use_mixup=false use_halo=false
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [0, 7]
Normal classes: [1, 2, 3, 4, 5, 6] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.6137 PR 0.1235 | unseen ROC 0.4250 PR 0.0377 | valAUC 0.8063 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.6120 PR 0.1219 | unseen ROC 0.4278 PR 0.0379 | valAUC 0.7874 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.6111 PR 0.1207 | unseen ROC 0.4253 PR 0.0377 | valAUC 0.7841 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6120 PR 0.1229 | unseen ROC 0.4199 PR 0.0374 | valAUC 0.7802 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6140 PR 0.1232 | unseen ROC 0.4217 PR 0.0376 | valAUC 0.8024 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6177 PR 0.1244 | unseen ROC 0.4279 PR 0.0379 | valAUC 0.8005 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6161 PR 0.1269 | unseen ROC 0.4165 PR 0.0372 | valAUC 0.7971 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6143 PR 0.1282 | unseen ROC 0.4098 PR 0.0368 | valAUC 0.8333 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6248 PR 0.1314 | unseen ROC 0.4226 PR 0.0376 | valAUC 0.8000 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6235 PR 0.1330 | unseen ROC 0.4165 PR 0.0372 | valAUC 0.8372 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6251 PR 0.1366 | unseen ROC 0.4125 PR 0.0370 | valAUC 0.8309 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6323 PR 0.1432 | unseen ROC 0.4174 PR 0.0373 | valAUC 0.8372 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6307 PR 0.1471 | unseen ROC 0.4084 PR 0.0367 | valAUC 0.8541 | tau+ 0.500
