# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 6 --method outpost --tag C_nogate --set use_atlas_gate=false
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[yelp] anomaly classes (rotations): [1]
Normal classes: [0] in yelp
Building multi-layer GraphSage
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/data/data.py:187: UserWarning: Unable to accurately infer 'num_nodes' from the attribute set '{'x', 'edge_index', 'y'}'. Please explicitly set 'num_nodes' as an attribute of 'data' to suppress this warning
  return sum([v.num_nodes for v in self.node_stores])
[OUTPOST-v4] epoch 0: test-all ROC 0.3684 PR 0.1132 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4652 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4064 PR 0.1239 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4786 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4509 PR 0.1363 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4922 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4581 PR 0.1411 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5005 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4877 PR 0.1526 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4957 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4847 PR 0.1508 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4884 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4796 PR 0.1488 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4891 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4798 PR 0.1486 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4914 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4657 PR 0.1440 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4858 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.4757 PR 0.1465 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4947 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.4865 PR 0.1496 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5050 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.4951 PR 0.1526 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5129 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5003 PR 0.1539 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5182 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5046 PR 0.1547 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5202 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5090 PR 0.1562 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5225 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5122 PR 0.1569 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5239 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5150 PR 0.1572 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5252 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5172 PR 0.1575 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5241 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5190 PR 0.1575 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5235 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5211 PR 0.1580 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5225 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.5235 PR 0.1585 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5219 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.5256 PR 0.1591 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5219 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.5276 PR 0.1595 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5227 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.5295 PR 0.1600 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5226 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.5313 PR 0.1605 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5236 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.5330 PR 0.1609 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5221 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.5346 PR 0.1614 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5213 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.5360 PR 0.1618 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5219 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.5372 PR 0.1622 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5219 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.5382 PR 0.1625 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5223 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.5390 PR 0.1627 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5229 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.5397 PR 0.1630 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5233 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.5402 PR 0.1631 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5235 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.5405 PR 0.1633 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5235 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.5408 PR 0.1634 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5242 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.5411 PR 0.1635 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5241 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.5412 PR 0.1636 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5256 | tau+ 0.500
