# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 7 --method outpost --tag C_simplacebo --set sim_shuffle=true
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[yelp] anomaly classes (rotations): [1]
Normal classes: [0] in yelp
Building multi-layer GraphSage
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/data/data.py:187: UserWarning: Unable to accurately infer 'num_nodes' from the attribute set '{'x', 'edge_index', 'y'}'. Please explicitly set 'num_nodes' as an attribute of 'data' to suppress this warning
  return sum([v.num_nodes for v in self.node_stores])
[OUTPOST-v4] epoch 0: test-all ROC 0.5311 PR 0.1812 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6159 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.5274 PR 0.1785 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6062 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.5239 PR 0.1757 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5939 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.5242 PR 0.1751 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5866 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.5205 PR 0.1715 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5762 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.5173 PR 0.1681 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5641 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.5146 PR 0.1651 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5481 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.5126 PR 0.1628 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5361 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.5035 PR 0.1568 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5186 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5038 PR 0.1563 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5122 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5046 PR 0.1563 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5063 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5056 PR 0.1566 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5023 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5069 PR 0.1572 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4991 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5081 PR 0.1577 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4959 | tau+ 0.500
