# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 2 --method outpost --tag C_nogate --set use_atlas_gate=false
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[yelp] anomaly classes (rotations): [1]
Normal classes: [0] in yelp
Building multi-layer GraphSage
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/data/data.py:187: UserWarning: Unable to accurately infer 'num_nodes' from the attribute set '{'y', 'x', 'edge_index'}'. Please explicitly set 'num_nodes' as an attribute of 'data' to suppress this warning
  return sum([v.num_nodes for v in self.node_stores])
[OUTPOST-v4] epoch 0: test-all ROC 0.5285 PR 0.1615 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4577 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.5489 PR 0.1710 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4700 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.5462 PR 0.1680 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4723 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.5404 PR 0.1653 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4673 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.5371 PR 0.1676 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4619 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.5312 PR 0.1647 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4570 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.5258 PR 0.1617 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4551 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.5221 PR 0.1595 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4540 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.5194 PR 0.1579 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4515 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5172 PR 0.1555 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4434 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5165 PR 0.1548 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4399 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5158 PR 0.1545 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4390 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5157 PR 0.1544 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4388 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5161 PR 0.1544 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4374 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5168 PR 0.1546 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4358 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5177 PR 0.1548 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4359 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5184 PR 0.1550 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4370 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5188 PR 0.1552 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4357 | tau+ 0.500
