# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 5 --method outpost --tag A_main
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[yelp] anomaly classes (rotations): [1]
Normal classes: [0] in yelp
Building multi-layer GraphSage
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/data/data.py:187: UserWarning: Unable to accurately infer 'num_nodes' from the attribute set '{'edge_index', 'x', 'y'}'. Please explicitly set 'num_nodes' as an attribute of 'data' to suppress this warning
  return sum([v.num_nodes for v in self.node_stores])
[OUTPOST-v4] epoch 0: test-all ROC 0.4670 PR 0.1374 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4397 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4373 PR 0.1288 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.3842 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4518 PR 0.1344 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.3754 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4545 PR 0.1376 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.3987 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4610 PR 0.1402 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4102 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4690 PR 0.1435 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4246 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4777 PR 0.1470 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4373 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4883 PR 0.1514 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4539 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4983 PR 0.1556 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4728 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5070 PR 0.1592 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4869 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5148 PR 0.1625 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4984 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5217 PR 0.1653 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5089 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5277 PR 0.1679 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5159 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5327 PR 0.1699 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5224 | tau+ 0.500
