# gpu=3 cmd=/usr/bin/python3 -u main.py --dataset tfinance --seed 7 --method outpost --tag A_sim0.0 --set sim_topk_frac=0.0 --save-scores
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[tfinance] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in tfinance
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.8475 PR 0.4714 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8450 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.8527 PR 0.4902 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8605 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.8532 PR 0.4860 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7998 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.8519 PR 0.4722 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7980 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.8447 PR 0.4615 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8118 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.8448 PR 0.4540 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8031 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.8418 PR 0.4491 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7578 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.8324 PR 0.3696 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8351 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.7981 PR 0.1531 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8092 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.7163 PR 0.0784 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7054 | tau+ 0.994
[OUTPOST-v4] epoch 10: test-all ROC 0.6976 PR 0.0717 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6247 | tau+ 0.995
[OUTPOST-v4] epoch 11: test-all ROC 0.7692 PR 0.1087 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7534 | tau+ 0.797
[OUTPOST-v4] epoch 12: test-all ROC 0.8101 PR 0.2080 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7912 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.8299 PR 0.3758 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6964 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.8332 PR 0.4274 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8110 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.8461 PR 0.4395 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7997 | tau+ 0.500
