/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[tfinance] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in tfinance
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4321 PR 0.0409 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4013 | tau+ 0.995
[OUTPOST-v4] epoch 1: test-all ROC 0.2234 PR 0.0278 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.2008 | tau+ 0.995
[OUTPOST-v4] epoch 2: test-all ROC 0.8444 PR 0.4325 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8100 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.8406 PR 0.5022 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8634 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.8358 PR 0.5116 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8423 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.8068 PR 0.4916 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7948 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.7941 PR 0.4791 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7647 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.7807 PR 0.4588 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7559 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.7700 PR 0.4589 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7767 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.7519 PR 0.4319 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7581 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.7376 PR 0.4133 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7274 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.7303 PR 0.4096 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6900 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.7189 PR 0.3916 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7274 | tau+ 0.500
