# gpu=3 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 42 --method outpost --tag T_warmup15 --rotations 5 --set warmup_epochs=15
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] running subset: [np.int64(5)]
Normal classes: [np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(8)] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4317 PR 0.1316 | unseen ROC 0.4256 PR 0.1179 | valAUC 0.4399 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4410 PR 0.1339 | unseen ROC 0.4341 PR 0.1197 | valAUC 0.4652 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4453 PR 0.1354 | unseen ROC 0.4385 PR 0.1209 | valAUC 0.4739 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4511 PR 0.1376 | unseen ROC 0.4416 PR 0.1225 | valAUC 0.5000 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4582 PR 0.1398 | unseen ROC 0.4465 PR 0.1240 | valAUC 0.5302 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4639 PR 0.1416 | unseen ROC 0.4505 PR 0.1251 | valAUC 0.5325 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4710 PR 0.1440 | unseen ROC 0.4539 PR 0.1263 | valAUC 0.5615 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4739 PR 0.1449 | unseen ROC 0.4560 PR 0.1266 | valAUC 0.5805 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4797 PR 0.1465 | unseen ROC 0.4592 PR 0.1273 | valAUC 0.6299 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.4900 PR 0.1500 | unseen ROC 0.4664 PR 0.1295 | valAUC 0.6736 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5024 PR 0.1543 | unseen ROC 0.4745 PR 0.1313 | valAUC 0.6874 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5136 PR 0.1599 | unseen ROC 0.4812 PR 0.1339 | valAUC 0.7385 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5221 PR 0.1621 | unseen ROC 0.4891 PR 0.1350 | valAUC 0.7431 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5379 PR 0.1694 | unseen ROC 0.5024 PR 0.1391 | valAUC 0.7991 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5451 PR 0.1738 | unseen ROC 0.5082 PR 0.1416 | valAUC 0.8129 | tau+ 0.500
