# gpu=6 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 1 --method outpost --tag A_main --rotations 7
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [np.int64(0), np.int64(7)]
[photo] running subset: [np.int64(7)]
Normal classes: [np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.6670 PR 0.1404 | unseen ROC 0.8350 PR 0.1520 | valAUC 0.4266 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.6681 PR 0.1486 | unseen ROC 0.8528 PR 0.1696 | valAUC 0.4222 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.6693 PR 0.1499 | unseen ROC 0.8488 PR 0.1700 | valAUC 0.4242 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6717 PR 0.1513 | unseen ROC 0.8531 PR 0.1733 | valAUC 0.4169 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6695 PR 0.1491 | unseen ROC 0.8485 PR 0.1690 | valAUC 0.3932 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6739 PR 0.1510 | unseen ROC 0.8476 PR 0.1705 | valAUC 0.4121 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6728 PR 0.1502 | unseen ROC 0.8474 PR 0.1693 | valAUC 0.4251 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6737 PR 0.1492 | unseen ROC 0.8446 PR 0.1675 | valAUC 0.4193 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6841 PR 0.1521 | unseen ROC 0.8442 PR 0.1672 | valAUC 0.4459 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6888 PR 0.1522 | unseen ROC 0.8357 PR 0.1627 | valAUC 0.4444 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.7001 PR 0.1512 | unseen ROC 0.8064 PR 0.1434 | valAUC 0.5420 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6302 PR 0.1215 | unseen ROC 0.5548 PR 0.0553 | valAUC 0.6401 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5129 PR 0.0928 | unseen ROC 0.3679 PR 0.0382 | valAUC 0.5981 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.4792 PR 0.0826 | unseen ROC 0.3465 PR 0.0372 | valAUC 0.5807 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.4431 PR 0.0747 | unseen ROC 0.3193 PR 0.0357 | valAUC 0.5802 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.4444 PR 0.0742 | unseen ROC 0.3342 PR 0.0364 | valAUC 0.5382 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.4607 PR 0.0759 | unseen ROC 0.3712 PR 0.0385 | valAUC 0.5546 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.4774 PR 0.0777 | unseen ROC 0.3978 PR 0.0402 | valAUC 0.5493 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5099 PR 0.0829 | unseen ROC 0.4475 PR 0.0439 | valAUC 0.5319 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5133 PR 0.0850 | unseen ROC 0.4520 PR 0.0447 | valAUC 0.5705 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.5189 PR 0.0867 | unseen ROC 0.4573 PR 0.0454 | valAUC 0.5440 | tau+ 0.500
