# gpu=5 cmd=/usr/bin/python3 -u main.py --dataset cs --seed 42 --method outpost --tag T_lambda_un0.5 --rotations 9 --set lambda_un=0.5
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] anomaly classes (rotations): [np.int64(0), np.int64(1), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(12), np.int64(14)]
[cs] running subset: [np.int64(9)]
Normal classes: [np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(10), np.int64(11), np.int64(13)] in cs
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.6868 PR 0.4004 | unseen ROC 0.6840 PR 0.3867 | valAUC 0.9846 | tau+ 0.508
[OUTPOST-v4] epoch 1: test-all ROC 0.7138 PR 0.4154 | unseen ROC 0.7112 PR 0.4020 | valAUC 0.9690 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.7304 PR 0.4421 | unseen ROC 0.7280 PR 0.4287 | valAUC 0.9757 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7331 PR 0.4458 | unseen ROC 0.7308 PR 0.4319 | valAUC 0.9681 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7394 PR 0.4543 | unseen ROC 0.7372 PR 0.4408 | valAUC 0.9839 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7425 PR 0.4591 | unseen ROC 0.7403 PR 0.4462 | valAUC 0.9877 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.7470 PR 0.4615 | unseen ROC 0.7447 PR 0.4481 | valAUC 0.9766 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.7524 PR 0.4690 | unseen ROC 0.7502 PR 0.4558 | valAUC 0.9688 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.7540 PR 0.4726 | unseen ROC 0.7518 PR 0.4599 | valAUC 0.9983 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.7559 PR 0.4765 | unseen ROC 0.7537 PR 0.4637 | valAUC 0.9766 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.7595 PR 0.4806 | unseen ROC 0.7573 PR 0.4677 | valAUC 0.9643 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.7643 PR 0.4874 | unseen ROC 0.7623 PR 0.4757 | valAUC 0.9757 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.7654 PR 0.4943 | unseen ROC 0.7634 PR 0.4825 | valAUC 0.9697 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.7681 PR 0.4984 | unseen ROC 0.7660 PR 0.4865 | valAUC 0.9766 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.7736 PR 0.5068 | unseen ROC 0.7716 PR 0.4948 | valAUC 0.9690 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.7757 PR 0.5107 | unseen ROC 0.7737 PR 0.4992 | valAUC 0.9695 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.7829 PR 0.5201 | unseen ROC 0.7810 PR 0.5089 | valAUC 0.9898 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.7872 PR 0.5299 | unseen ROC 0.7853 PR 0.5185 | valAUC 0.9676 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.7894 PR 0.5391 | unseen ROC 0.7876 PR 0.5287 | valAUC 0.9688 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.7934 PR 0.5454 | unseen ROC 0.7916 PR 0.5352 | valAUC 0.9790 | tau+ 0.500
