# gpu=4 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 42 --method outpost --tag T_hidden32 --rotations 0 --set hidden_dim=32
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] running subset: [np.int64(0)]
Normal classes: [np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(8)] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4854 PR 0.1496 | unseen ROC 0.4479 PR 0.1166 | valAUC 0.7138 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4702 PR 0.1442 | unseen ROC 0.4332 PR 0.1132 | valAUC 0.6635 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4651 PR 0.1426 | unseen ROC 0.4271 PR 0.1118 | valAUC 0.6750 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4594 PR 0.1408 | unseen ROC 0.4203 PR 0.1102 | valAUC 0.6500 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4577 PR 0.1401 | unseen ROC 0.4189 PR 0.1097 | valAUC 0.6612 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4585 PR 0.1404 | unseen ROC 0.4196 PR 0.1099 | valAUC 0.6713 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4593 PR 0.1402 | unseen ROC 0.4207 PR 0.1098 | valAUC 0.6744 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4630 PR 0.1422 | unseen ROC 0.4230 PR 0.1108 | valAUC 0.6770 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4682 PR 0.1440 | unseen ROC 0.4277 PR 0.1118 | valAUC 0.6721 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.4767 PR 0.1474 | unseen ROC 0.4345 PR 0.1136 | valAUC 0.6908 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.4821 PR 0.1487 | unseen ROC 0.4403 PR 0.1145 | valAUC 0.7121 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5020 PR 0.1568 | unseen ROC 0.4587 PR 0.1193 | valAUC 0.7184 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5270 PR 0.1672 | unseen ROC 0.4795 PR 0.1243 | valAUC 0.7218 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5556 PR 0.1801 | unseen ROC 0.5071 PR 0.1308 | valAUC 0.7457 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6007 PR 0.2053 | unseen ROC 0.5512 PR 0.1447 | valAUC 0.7943 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.6376 PR 0.2210 | unseen ROC 0.5979 PR 0.1594 | valAUC 0.7921 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.6295 PR 0.2113 | unseen ROC 0.5982 PR 0.1633 | valAUC 0.7555 | tau+ 0.500
