# gpu=4 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 1 --method outpost --tag T_Kp2 --set K_p=2
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[yelp] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in yelp
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.5204 PR 0.1654 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4765 | tau+ 0.552
[OUTPOST-v4] epoch 1: test-all ROC 0.5237 PR 0.1675 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4763 | tau+ 0.522
[OUTPOST-v4] epoch 2: test-all ROC 0.5373 PR 0.1735 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4824 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.5651 PR 0.1942 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5082 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.5740 PR 0.2039 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5120 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.5788 PR 0.2051 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5168 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.5850 PR 0.2060 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5381 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6093 PR 0.2174 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6002 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6157 PR 0.2194 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6162 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6144 PR 0.2165 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6161 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6151 PR 0.2166 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6197 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6149 PR 0.2169 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6187 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6134 PR 0.2155 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6147 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.6132 PR 0.2141 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6117 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6126 PR 0.2126 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6087 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.6120 PR 0.2112 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6054 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.6115 PR 0.2097 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6055 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.6109 PR 0.2084 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6041 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.6104 PR 0.2071 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6061 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.6100 PR 0.2059 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6059 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.6095 PR 0.2049 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6066 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.6092 PR 0.2039 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6070 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.6089 PR 0.2031 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6063 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.6087 PR 0.2024 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6065 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.6086 PR 0.2018 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6066 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.6085 PR 0.2012 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6066 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.6086 PR 0.2008 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6072 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.6087 PR 0.2005 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6087 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.6090 PR 0.2003 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6096 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.6094 PR 0.2001 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6109 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.6097 PR 0.2001 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6127 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.6100 PR 0.1999 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6146 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.6101 PR 0.1998 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6158 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.6101 PR 0.1996 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6150 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.6100 PR 0.1994 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6152 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.6099 PR 0.1992 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6147 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.6097 PR 0.1991 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6139 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.6095 PR 0.1989 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6135 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.6094 PR 0.1988 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6128 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.6096 PR 0.1988 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6111 | tau+ 0.500
[OUTPOST-v4] epoch 40: test-all ROC 0.6095 PR 0.1988 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6105 | tau+ 0.500
[OUTPOST-v4] epoch 41: test-all ROC 0.6094 PR 0.1988 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6095 | tau+ 0.500
[OUTPOST-v4] epoch 42: test-all ROC 0.6095 PR 0.1990 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6087 | tau+ 0.500
