# gpu=3 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 0 --method outpost --tag T_Kp2 --set K_p=2
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[yelp] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in yelp
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.5629 PR 0.1808 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4859 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.5909 PR 0.1861 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4918 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.5868 PR 0.1818 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4935 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.5698 PR 0.1735 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4814 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.5723 PR 0.1739 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4898 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.5710 PR 0.1741 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4997 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.5648 PR 0.1729 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5117 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.5611 PR 0.1712 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5210 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.5603 PR 0.1705 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5276 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5601 PR 0.1701 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5361 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5607 PR 0.1702 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5407 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5621 PR 0.1705 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5455 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5638 PR 0.1711 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5506 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5657 PR 0.1716 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5521 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5679 PR 0.1723 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5555 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5696 PR 0.1729 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5589 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5715 PR 0.1735 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5606 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5732 PR 0.1741 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5632 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5747 PR 0.1747 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5660 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5761 PR 0.1752 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5675 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.5773 PR 0.1757 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5694 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.5785 PR 0.1761 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5719 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.5798 PR 0.1766 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5733 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.5810 PR 0.1770 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5737 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.5822 PR 0.1774 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5749 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.5835 PR 0.1779 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5746 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.5848 PR 0.1783 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5747 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.5863 PR 0.1788 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5745 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.5879 PR 0.1794 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5738 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.5893 PR 0.1798 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5727 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.5898 PR 0.1798 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5690 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.5914 PR 0.1804 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5668 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.5931 PR 0.1810 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5665 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.5946 PR 0.1816 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5645 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.5960 PR 0.1821 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5640 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.5973 PR 0.1826 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5632 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.5986 PR 0.1831 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5620 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.6001 PR 0.1837 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5628 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.6016 PR 0.1844 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5614 | tau+ 0.500
