# gpu=5 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 1 --method outpost --tag T_Kp12 --rotations 9 --set K_p=12
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] running subset: [np.int64(9)]
Normal classes: [np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(8)] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4804 PR 0.1471 | unseen ROC 0.4863 PR 0.1355 | valAUC 0.4635 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4714 PR 0.1440 | unseen ROC 0.4763 PR 0.1322 | valAUC 0.4557 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4652 PR 0.1418 | unseen ROC 0.4687 PR 0.1295 | valAUC 0.4756 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4665 PR 0.1421 | unseen ROC 0.4704 PR 0.1299 | valAUC 0.4698 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4713 PR 0.1441 | unseen ROC 0.4739 PR 0.1315 | valAUC 0.4638 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4732 PR 0.1440 | unseen ROC 0.4760 PR 0.1314 | valAUC 0.4885 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4806 PR 0.1467 | unseen ROC 0.4834 PR 0.1339 | valAUC 0.4805 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4900 PR 0.1496 | unseen ROC 0.4919 PR 0.1367 | valAUC 0.5135 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.5066 PR 0.1555 | unseen ROC 0.5075 PR 0.1419 | valAUC 0.5198 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5404 PR 0.1669 | unseen ROC 0.5370 PR 0.1513 | valAUC 0.5598 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6090 PR 0.2182 | unseen ROC 0.5965 PR 0.1917 | valAUC 0.6839 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.7187 PR 0.2965 | unseen ROC 0.6989 PR 0.2366 | valAUC 0.8500 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6434 PR 0.2424 | unseen ROC 0.6250 PR 0.2042 | valAUC 0.7552 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.6196 PR 0.2249 | unseen ROC 0.6024 PR 0.1926 | valAUC 0.6899 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6335 PR 0.2378 | unseen ROC 0.6181 PR 0.2077 | valAUC 0.7083 | tau+ 0.500
