# gpu=4 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 42 --method outpost --tag E400_T_hidden32 --rotations 7 --set hidden_dim=32 num_epochs=400 --save-scores
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [np.int64(0), np.int64(7)]
[photo] running subset: [np.int64(7)]
Normal classes: [np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.6722 PR 0.1553 | unseen ROC 0.8610 PR 0.1820 | valAUC 0.4227 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.6722 PR 0.1579 | unseen ROC 0.8617 PR 0.1857 | valAUC 0.4174 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.6706 PR 0.1517 | unseen ROC 0.8553 PR 0.1744 | valAUC 0.4357 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6682 PR 0.1527 | unseen ROC 0.8560 PR 0.1771 | valAUC 0.4130 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6692 PR 0.1527 | unseen ROC 0.8535 PR 0.1758 | valAUC 0.3841 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6710 PR 0.1543 | unseen ROC 0.8512 PR 0.1776 | valAUC 0.4130 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6684 PR 0.1530 | unseen ROC 0.8504 PR 0.1761 | valAUC 0.4135 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6844 PR 0.1603 | unseen ROC 0.8599 PR 0.1847 | valAUC 0.4329 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6839 PR 0.1619 | unseen ROC 0.8615 PR 0.1881 | valAUC 0.4329 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6896 PR 0.1665 | unseen ROC 0.8648 PR 0.1941 | valAUC 0.4512 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6976 PR 0.1718 | unseen ROC 0.8712 PR 0.2019 | valAUC 0.4333 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.7214 PR 0.1883 | unseen ROC 0.8755 PR 0.2152 | valAUC 0.5638 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.7425 PR 0.1870 | unseen ROC 0.8466 PR 0.1817 | valAUC 0.5019 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.7187 PR 0.1562 | unseen ROC 0.7573 PR 0.1110 | valAUC 0.6314 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6335 PR 0.1174 | unseen ROC 0.6026 PR 0.0629 | valAUC 0.6541 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5569 PR 0.0977 | unseen ROC 0.4809 PR 0.0493 | valAUC 0.6570 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5321 PR 0.0914 | unseen ROC 0.4324 PR 0.0425 | valAUC 0.6290 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5351 PR 0.0936 | unseen ROC 0.4379 PR 0.0428 | valAUC 0.6415 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5345 PR 0.0949 | unseen ROC 0.4246 PR 0.0431 | valAUC 0.6343 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5283 PR 0.0967 | unseen ROC 0.4005 PR 0.0415 | valAUC 0.6932 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.5295 PR 0.0951 | unseen ROC 0.3990 PR 0.0401 | valAUC 0.6802 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.5271 PR 0.0945 | unseen ROC 0.3953 PR 0.0399 | valAUC 0.6966 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.5473 PR 0.1020 | unseen ROC 0.4219 PR 0.0417 | valAUC 0.7101 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.5525 PR 0.1009 | unseen ROC 0.4290 PR 0.0423 | valAUC 0.6710 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.5680 PR 0.1097 | unseen ROC 0.4432 PR 0.0432 | valAUC 0.7222 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.5777 PR 0.1161 | unseen ROC 0.4615 PR 0.0449 | valAUC 0.7121 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.5871 PR 0.1212 | unseen ROC 0.4730 PR 0.0457 | valAUC 0.7536 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.6073 PR 0.1239 | unseen ROC 0.4933 PR 0.0473 | valAUC 0.7362 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.6150 PR 0.1301 | unseen ROC 0.5064 PR 0.0486 | valAUC 0.7478 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.6309 PR 0.1396 | unseen ROC 0.5295 PR 0.0510 | valAUC 0.7415 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.6394 PR 0.1460 | unseen ROC 0.5386 PR 0.0520 | valAUC 0.7599 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.6449 PR 0.1565 | unseen ROC 0.5362 PR 0.0516 | valAUC 0.7565 | tau+ 0.500
