# gpu=5 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 0 --method outpost --tag E400_T_Kp4 --rotations 5 --set K_p=4 num_epochs=400 --save-scores
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] running subset: [np.int64(5)]
Normal classes: [np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(8)] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4461 PR 0.1368 | unseen ROC 0.4401 PR 0.1228 | valAUC 0.5000 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4486 PR 0.1372 | unseen ROC 0.4409 PR 0.1225 | valAUC 0.5175 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4492 PR 0.1368 | unseen ROC 0.4405 PR 0.1220 | valAUC 0.5362 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4528 PR 0.1381 | unseen ROC 0.4443 PR 0.1232 | valAUC 0.5374 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4560 PR 0.1385 | unseen ROC 0.4450 PR 0.1229 | valAUC 0.5583 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4617 PR 0.1407 | unseen ROC 0.4502 PR 0.1246 | valAUC 0.5638 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4652 PR 0.1418 | unseen ROC 0.4516 PR 0.1250 | valAUC 0.5905 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4714 PR 0.1437 | unseen ROC 0.4559 PR 0.1261 | valAUC 0.6141 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4784 PR 0.1458 | unseen ROC 0.4601 PR 0.1272 | valAUC 0.6290 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.4930 PR 0.1512 | unseen ROC 0.4722 PR 0.1308 | valAUC 0.6799 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5175 PR 0.1598 | unseen ROC 0.4902 PR 0.1354 | valAUC 0.7376 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5475 PR 0.1733 | unseen ROC 0.5116 PR 0.1414 | valAUC 0.8017 | tau+ 0.500
