# gpu=3 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 42 --method outpost --tag E400_T_lambda_un0.5 --rotations 5 --set lambda_un=0.5 num_epochs=400 --save-scores
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] running subset: [np.int64(5)]
Normal classes: [np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(8)] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4317 PR 0.1316 | unseen ROC 0.4256 PR 0.1179 | valAUC 0.4399 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4410 PR 0.1339 | unseen ROC 0.4341 PR 0.1197 | valAUC 0.4652 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4453 PR 0.1354 | unseen ROC 0.4385 PR 0.1209 | valAUC 0.4739 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4511 PR 0.1376 | unseen ROC 0.4416 PR 0.1225 | valAUC 0.5000 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4556 PR 0.1391 | unseen ROC 0.4434 PR 0.1232 | valAUC 0.5307 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4594 PR 0.1398 | unseen ROC 0.4466 PR 0.1235 | valAUC 0.5072 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4630 PR 0.1407 | unseen ROC 0.4481 PR 0.1237 | valAUC 0.5514 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4695 PR 0.1419 | unseen ROC 0.4527 PR 0.1243 | valAUC 0.5770 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4813 PR 0.1456 | unseen ROC 0.4598 PR 0.1262 | valAUC 0.6560 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5013 PR 0.1517 | unseen ROC 0.4727 PR 0.1285 | valAUC 0.7402 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5324 PR 0.1620 | unseen ROC 0.4981 PR 0.1334 | valAUC 0.7971 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5511 PR 0.1698 | unseen ROC 0.5142 PR 0.1372 | valAUC 0.8319 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5667 PR 0.1755 | unseen ROC 0.5288 PR 0.1400 | valAUC 0.8448 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5668 PR 0.1719 | unseen ROC 0.5287 PR 0.1373 | valAUC 0.8701 | tau+ 0.500
