# gpu=6 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 42 --method outpost --tag C_noconformal --rotations 5 --set use_conformal=false
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] running subset: [np.int64(5)]
Normal classes: [np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(8)] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4317 PR 0.1316 | unseen ROC 0.4256 PR 0.1179 | valAUC 0.4399 | tau+ 0.950
[OUTPOST-v4] epoch 1: test-all ROC 0.4410 PR 0.1339 | unseen ROC 0.4341 PR 0.1197 | valAUC 0.4652 | tau+ 0.950
[OUTPOST-v4] epoch 2: test-all ROC 0.4453 PR 0.1354 | unseen ROC 0.4385 PR 0.1209 | valAUC 0.4739 | tau+ 0.950
[OUTPOST-v4] epoch 3: test-all ROC 0.4511 PR 0.1376 | unseen ROC 0.4416 PR 0.1225 | valAUC 0.5000 | tau+ 0.950
[OUTPOST-v4] epoch 4: test-all ROC 0.4556 PR 0.1391 | unseen ROC 0.4434 PR 0.1232 | valAUC 0.5307 | tau+ 0.950
[OUTPOST-v4] epoch 5: test-all ROC 0.4596 PR 0.1398 | unseen ROC 0.4467 PR 0.1236 | valAUC 0.5086 | tau+ 0.950
[OUTPOST-v4] epoch 6: test-all ROC 0.4633 PR 0.1408 | unseen ROC 0.4484 PR 0.1238 | valAUC 0.5520 | tau+ 0.950
[OUTPOST-v4] epoch 7: test-all ROC 0.4701 PR 0.1420 | unseen ROC 0.4530 PR 0.1244 | valAUC 0.5790 | tau+ 0.950
[OUTPOST-v4] epoch 8: test-all ROC 0.4822 PR 0.1459 | unseen ROC 0.4604 PR 0.1263 | valAUC 0.6598 | tau+ 0.950
[OUTPOST-v4] epoch 9: test-all ROC 0.5018 PR 0.1519 | unseen ROC 0.4730 PR 0.1286 | valAUC 0.7417 | tau+ 0.950
[OUTPOST-v4] epoch 10: test-all ROC 0.5335 PR 0.1624 | unseen ROC 0.4990 PR 0.1337 | valAUC 0.7991 | tau+ 0.950
[OUTPOST-v4] epoch 11: test-all ROC 0.5518 PR 0.1702 | unseen ROC 0.5147 PR 0.1375 | valAUC 0.8356 | tau+ 0.950
[OUTPOST-v4] epoch 12: test-all ROC 0.5670 PR 0.1757 | unseen ROC 0.5290 PR 0.1402 | valAUC 0.8445 | tau+ 0.950
[OUTPOST-v4] epoch 13: test-all ROC 0.5775 PR 0.1781 | unseen ROC 0.5382 PR 0.1406 | valAUC 0.8793 | tau+ 0.950
[OUTPOST-v4] epoch 14: test-all ROC 0.5783 PR 0.1840 | unseen ROC 0.5376 PR 0.1416 | valAUC 0.9083 | tau+ 0.950
[OUTPOST-v4] epoch 15: test-all ROC 0.5998 PR 0.2019 | unseen ROC 0.5589 PR 0.1509 | valAUC 0.9526 | tau+ 0.950
[OUTPOST-v4] epoch 16: test-all ROC 0.6283 PR 0.2314 | unseen ROC 0.5877 PR 0.1647 | valAUC 0.9721 | tau+ 0.950
[OUTPOST-v4] epoch 17: test-all ROC 0.6515 PR 0.2555 | unseen ROC 0.6122 PR 0.1729 | valAUC 0.9756 | tau+ 0.950
[OUTPOST-v4] epoch 18: test-all ROC 0.6881 PR 0.3243 | unseen ROC 0.6528 PR 0.2134 | valAUC 0.9807 | tau+ 0.950
[OUTPOST-v4] epoch 19: test-all ROC 0.6947 PR 0.3596 | unseen ROC 0.6610 PR 0.2434 | valAUC 0.9796 | tau+ 0.950
[OUTPOST-v4] epoch 20: test-all ROC 0.6982 PR 0.3602 | unseen ROC 0.6654 PR 0.2503 | valAUC 0.9695 | tau+ 0.950
[OUTPOST-v4] epoch 21: test-all ROC 0.7087 PR 0.3782 | unseen ROC 0.6755 PR 0.2632 | valAUC 0.9724 | tau+ 0.950
