# gpu=4 cmd=/usr/bin/python3 -u main.py --dataset cs --seed 0 --method outpost --tag C_nogate --rotations 9 --set use_atlas_gate=false
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] anomaly classes (rotations): [np.int64(0), np.int64(1), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(12), np.int64(14)]
[cs] running subset: [np.int64(9)]
Normal classes: [np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(10), np.int64(11), np.int64(13)] in cs
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.7621 PR 0.4900 | unseen ROC 0.7599 PR 0.4762 | valAUC 0.9858 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.7539 PR 0.4767 | unseen ROC 0.7518 PR 0.4631 | valAUC 0.9870 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.7513 PR 0.4725 | unseen ROC 0.7491 PR 0.4590 | valAUC 0.9896 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7489 PR 0.4660 | unseen ROC 0.7465 PR 0.4520 | valAUC 0.9832 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7477 PR 0.4631 | unseen ROC 0.7455 PR 0.4498 | valAUC 0.9877 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7507 PR 0.4689 | unseen ROC 0.7487 PR 0.4554 | valAUC 0.9861 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.7566 PR 0.4777 | unseen ROC 0.7544 PR 0.4645 | valAUC 0.9889 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.7629 PR 0.4915 | unseen ROC 0.7609 PR 0.4793 | valAUC 0.9898 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.7681 PR 0.4950 | unseen ROC 0.7663 PR 0.4824 | valAUC 0.9903 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.7739 PR 0.5066 | unseen ROC 0.7720 PR 0.4951 | valAUC 0.9934 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.7794 PR 0.5197 | unseen ROC 0.7775 PR 0.5084 | valAUC 0.9934 | tau+ 0.500
